"inst_416" "inst_1009" "inst_1170" "inst_1229" "inst_1289" "inst_1654" "inst_2644" "inst_2689" "inst_4453" "inst_4670" "inst_5226" "inst_5265" "inst_5589" "inst_5630" "inst_6188" "inst_6947" "inst_6988"
"200624_s_at" 6552 19745 4029 18897 19764 3487 3694 6654 16379 17901 2790 10857 7229 13316 4483 8540 4947
"200625_s_at" 5256 19071 18862 16874 10182 16100 17086 7837 10950 6168 7504 7876 10490 20933 15444 7368 20419
"200626_s_at" 15301 21795 21800 16684 720 14221 5609 8431 10229 9436 3824 8393 3775 16137 5653 3054 19372
"200627_at" 5177 16064 7941 14679 8676 3920 13964 9300 11086 9506 19164 19504 12896 12245 4527 8763 16704
"200628_s_at" 14258 18181 3422 6377 20298 14708 4486 18712 20783 16659 19902 6302 9244 11864 18601 9158 19695
"200629_at" 14952 16051 3838 6074 8225 19334 2840 6865 18515 19488 8976 6580 7845 19381 18839 2658 2849
"200630_x_at" 17580 17035 6270 17681 8224 2111 5351 11410 3602 8615 10566 9144 8839 3304 14085 7824 16711
"200631_s_at" 19023 16498 8173 16979 4049 14583 17198 9169 10259 17630 6653 9161 9327 13336 13376 8420 17868
"200632_s_at" 17522 735 4018 1058 7264 279 21441 7014 2760 1044 20155 11095 11829 18630 17631 20048 22056
"200633_at" 6671 17332 9045 15294 8932 4777 14366 14335 5764 11506 19489 19256 12035 5699 15996 7756 7587
"200634_at" 5036 15923 6321 15723 8762 2935 15236 8491 11347 17965 11589 11477 11517 16144 6465 10500 16960
"200635_s_at" 20441 21477 15011 4095 18123 20920 19942 14776 13799 2634 4197 2479 1346 12004 602 5221 2870
"200636_s_at" 14231 19157 13418 17014 10506 19233 5784 14790 3999 4952 1010 3182 9831 20053 7819 4403 4161
"200637_s_at" 18385 4153 13308 964 14142 15282 20042 13067 21656 3640 20181 9150 8201 18068 6848 3530 21326
"200638_s_at" 19136 17680 6151 16915 5895 4526 15815 6141 13979 8111 8657 19951 7849 3884 4555 9036 8170
"200639_s_at" 18602 6466 9461 14914 5379 15541 14312 6886 10097 18756 20853 10944 5273 12323 12792 9753 4185
"200640_at" 15335 17676 7362 17692 7054 16750 15518 8975 11910 16361 11584 19328 11142 11061 5340 9498 19509
"200641_s_at" 3562 18651 6249 18238 21332 2559 12790 11544 14166 15681 20157 20751 8137 2626 2838 3254 5233
"200642_at" 6154 17536 9047 15835 6706 16914 12869 12168 12603 17349 19961 19008 12982 12519 16665 8513 7863
"200643_at" 15671 19982 21260 14803 1292 4520 4008 2893 20316 5252 965 9033 19449 14393 6224 4926 19694
"200644_at" 4371 16499 1660 15933 3764 14915 16164 4560 3662 15930 10120 11215 8847 17294 21275 9084 4306
"200645_at" 3645 17902 6350 14749 7058 3641 16946 7149 15439 7688 4287 4108 7573 15535 13564 5051 7202
"200646_s_at" 1042 2134 21234 2013 19942 17357 21104 12290 11101 2197 2842 4304 21488 14338 2291 5582 1658
"200647_x_at" 5909 3062 6043 5226 8482 1896 16343 18962 17781 7459 9941 10365 10940 15657 16977 10008 16723
"200648_s_at" 1613 16507 9363 15047 21202 20243 13778 11587 20954 8396 6081 10706 8850 3245 2191 8903 19046
"200649_at" 15253 19867 7133 2725 19977 4102 16055 21439 2327 1145 7068 6712 11544 16072 4792 10307 3235
"200650_s_at" 5586 16540 21797 15093 9975 3518 14647 14238 5642 11372 9793 11406 12980 13609 7996 9638 16828
"200651_at" 4639 17010 19675 4031 20613 14976 13146 14415 4175 16834 8646 19798 19993 5821 8230 19191 19115
"200652_at" 6215 19987 4473 15863 4600 15494 17964 8813 15055 17317 2995 8611 4351 13435 15122 6129 6386
"200653_s_at" 15717 20629 20391 18715 1662 3662 18740 3930 13034 4948 2906 10562 3569 15445 13656 19214 16738
"200654_at" 4915 17208 22259 3151 7778 4222 16994 9779 11863 3734 6317 19878 12090 21185 15941 5049 17626
"200655_s_at" 7005 15635 8562 3403 9291 16479 4065 7841 2198 17410 10546 11465 12879 10782 5342 19165 5773
"200656_s_at" 14697 6205 8801 5125 3417 14259 18475 11789 17746 4755 8820 5911 11181 12849 16612 7566 16770
"200657_at" 4020 4759 8813 5656 6890 3491 15613 9749 2615 7381 19322 12018 19426 3791 17471 10196 7974
"200658_s_at" 6944 17921 6945 4430 9277 19007 15573 19898 19561 16423 7781 10583 11329 14035 3724 10359 16927
"200659_s_at" 1933 5155 21739 5032 10080 14189 20282 10439 19759 17726 7188 19625 10075 2300 12470 6660 7701
"200660_at" 14486 18404 9552 6116 19854 14212 14431 10179 12739 3658 9907 9628 20017 12722 14544 19005 18066
"200661_at" 14238 5047 7557 5082 2675 18888 13830 11017 16345 2308 5243 5227 11975 15404 19465 7218 19777
"200662_s_at" 20425 19932 21007 16397 2804 17923 15770 12199 15747 7369 5242 18573 9586 18312 17355 7762 19996
"200663_at" 3733 18798 3275 5126 6765 3099 15877 11390 3984 5513 9777 8019 20161 2961 16825 10172 18659
"200664_s_at" 4708 20764 19361 5290 5367 4235 15284 12044 21037 16700 9872 8951 8457 12479 16051 2459 2582
"200665_s_at" 9857 7892 16591 8529 16732 12766 7778 16381 19954 750 8437 12690 18399 8161 6480 13160 10807
"200666_s_at" 2490 17856 7239 18199 713 19721 16619 8685 16011 19886 6146 7054 19168 9819 14163 9518 11566
"200667_at" 19909 3795 5789 17060 7818 19071 17094 11940 3725 16438 8484 6111 8016 12133 17112 9297 6523
"200668_s_at" 3257 17357 8588 17193 7493 14573 13160 8307 13787 7365 8932 10401 7909 14624 13140 4731 17901
"200669_s_at" 4840 15536 6204 5527 8053 3051 12890 11416 16620 7553 9729 5798 5340 10580 4692 6183 4871
"200670_at" 16253 17495 1190 20355 2576 14342 14364 3429 2731 1652 6278 11978 9991 16981 19391 8775 6973
"200671_s_at" 20252 3782 18488 95 19365 12945 97 4006 20836 21242 2382 22223 1852 1962 753 16512 10627
"200672_x_at" 18303 21520 4233 1493 5715 22084 4317 19236 16717 17096 20092 3729 4105 2380 840 56 6008
"200673_at" 17439 5926 2433 16376 3101 15840 16090 4211 9547 5914 5353 10334 4764 12340 16327 5867 5212
"200674_s_at" 4193 9815 19668 6076 20496 2757 4750 14390 5819 15616 20477 11798 19985 5779 8204 19728 6773
"200675_at" 1646 21526 7248 20351 3725 17241 15647 5738 16298 7483 5460 4240 2906 18161 18753 3959 19851
"200676_s_at" 3659 5295 2079 1708 6928 3278 20467 19765 18166 18295 21468 2202 750 10118 743 9973 20473
"200677_at" 2999 15959 19209 14844 2758 4377 16617 10967 3818 4865 6926 9743 8709 15459 4919 3912 5703
