"inst_421" "inst_910" "inst_1004" "inst_1165" "inst_1224" "inst_1649" "inst_2389" "inst_2684" "inst_4448" "inst_5221" "inst_5442" "inst_5584" "inst_6183" "inst_6341" "inst_6984" "inst_7420"
"200641_s_at" 4970 14939 16074 3523 13723 2631 16928 5494 15775 20267 16604 9980 3998 1365 14865 20861
"200642_at" 4873 3942 14388 18120 12993 14563 16712 9714 8228 16685 13331 11354 15882 13964 5912 5151
"200643_at" 3180 2746 14552 18762 14672 15411 12889 4235 9053 2346 13290 20221 12198 16301 19458 5173
"200644_at" 20785 18222 19244 19420 13721 16358 16265 5200 9039 19677 18665 8372 20888 19662 17102 17356
"200645_at" 4911 14450 14015 6208 14193 3048 4429 9755 8274 5572 5466 6147 17104 3827 3880 1776
"200646_s_at" 6248 3247 21285 3149 2000 17296 22017 9254 7281 6995 5885 21539 11725 22137 4861 17126
"200647_x_at" 6506 4220 13500 6750 17900 2359 20176 18193 5803 15252 19055 7141 18158 3213 3340 17794
"200648_s_at" 2507 4432 3807 1587 18569 17934 20782 16587 20636 18687 19035 7751 12015 13691 19463 18476
"200649_at" 7333 18030 16037 850 3410 22048 3409 21137 3981 3251 3866 19552 17423 19585 20341 846
"200650_s_at" 17691 14725 15850 20332 13227 17214 16900 12597 10915 15381 12896 19376 5661 12541 17367 16494
"200651_at" 17518 8092 4262 6815 3739 3765 5098 12778 8894 4774 4454 19049 5883 14782 15892 5707
"200652_at" 1887 4018 13946 4797 14779 2982 14267 4655 3327 2330 12542 2264 12166 4313 3210 3455
"200653_s_at" 2618 4197 18523 20548 4082 14956 18842 6694 15977 3237 18187 4081 17777 14889 4215 19886
"200654_at" 8646 4478 13835 17663 4216 13818 18713 9949 6771 4063 5417 6604 15181 4054 5582 3416
"200655_s_at" 8297 3038 13279 18180 4821 15023 18734 5969 6376 14772 16414 11693 14282 13968 3726 18830
"200656_s_at" 6731 2918 14469 18319 15639 14200 16706 10749 8234 7030 5538 4452 14587 13467 2005 4912
"200657_at" 17883 4243 3591 7893 14241 3709 14449 9432 9261 6785 12206 11960 11856 14021 5557 4580
"200658_s_at" 7540 14316 15193 8232 18224 4157 19401 18507 17456 16202 16608 9716 16069 16951 4450 16285
"200659_s_at" 20894 14180 17506 22249 21643 17112 20917 18748 20410 21406 13220 10748 19070 20094 14904 19027
"200660_at" 3910 3610 15189 19072 4266 14474 15742 9400 8440 4158 13749 11882 16378 3858 3393 17430
"200661_at" 8178 3737 3467 18805 4631 4217 20233 10137 7803 3649 4393 8595 18305 3899 4525 5018
"200662_s_at" 4477 16267 20704 19487 17072 13849 18050 18838 20061 15805 14351 9563 15272 4686 16719 4302
"200663_at" 3877 3790 13323 5781 2769 2315 15185 2861 15444 3512 12731 18509 11002 4540 4534 4468
"200664_s_at" 2843 4535 13378 20474 17212 1505 19154 1489 14796 21084 20478 3979 11706 13140 3125 19568
"200665_s_at" 12617 12078 7984 15510 10268 6888 7857 11767 20802 7906 11204 17854 5341 11333 8434 8730
"200666_s_at" 4975 2924 3808 8067 19996 16035 14618 3761 8062 15788 17209 11762 3803 19076 14984 19032
"200667_at" 6003 14903 15587 17648 17742 14451 17070 10666 18197 19096 13194 7937 12714 20150 19553 6114
"200668_s_at" 3252 16006 15393 7439 13881 13602 15938 6846 7339 15293 12614 7981 12432 16917 5363 6125
"200669_s_at" 5179 15320 15066 4352 4364 3216 14902 6949 5703 17793 14466 3782 14645 19407 5175 17889
"200670_at" 19280 3965 4134 2869 2316 2867 13201 2737 628 2580 3688 2602 19735 1219 2354 3755
"200671_s_at" 9621 2862 13705 14128 4608 392 17103 4413 22118 1049 21952 3754 443 15743 11580 5883
"200672_x_at" 2075 17766 14590 152 18741 18083 21691 3854 14679 15021 21112 8367 3489 12525 859 21775
