"inst_1706" "inst_1828" "inst_1869" "inst_2533" "inst_5457" "inst_6096" "inst_6358" "inst_6794" "inst_7146"
"200850_s_at" 20509 15347 7145 18692 8623 5420 6251 4553 5391
"200851_s_at" 6708 404 20289 7599 18115 20212 9797 17411 15255
"200852_x_at" 7406 20721 5166 19228 9378 5640 5898 8447 15832
"200853_at" 20879 19423 20409 19546 5689 8870 10443 19123 19377
"200854_at" 5540 15524 6525 4771 7783 7377 12320 2479 15579
"200855_at" 3129 14894 18833 16914 20716 1519 3109 2811 21702
"200856_x_at" 21294 12419 20626 15454 19350 4504 6083 20772 21835
"200857_s_at" 6692 15413 725 5864 1995 17807 12106 6647 18277
"200858_s_at" 8810 17891 5728 16182 8629 9205 11490 8181 19158
"200859_x_at" 19917 21905 8683 19276 8435 6629 20403 8364 15185
"200860_s_at" 3843 15462 8004 6824 10457 8101 1292 4609 15401
"200861_at" 1358 16620 20599 17857 4270 6452 10841 3170 2556
"200862_at" 6380 2334 5249 4550 8984 9019 6526 18590 4049
"200863_s_at" 8535 12381 6874 5656 18268 8640 7700 17582 5526
