"inst_2571" "inst_3433" "inst_3816" "inst_3899" "inst_4373" "inst_4551"
"200728_at" 10180 12391 2998 8816 19326 8504
"200729_s_at" 3320 13465 4073 8559 17463 2787
"200730_s_at" 20063 17565 2566 11119 14844 9605
"200731_s_at" 7264 13673 2255 10509 6278 4911
"200732_s_at" 5450 19291 2614 5212 8375 7089
"200733_s_at" 1729 17034 14091 2012 18437 145
"200734_s_at" 19707 13589 6780 7125 5905 19997
"200735_x_at" 14168 12195 10149 13442 10764 16216
"200736_s_at" 8655 9329 16675 14279 13802 19161
"200737_at" 5191 16778 7893 2233 18575 3975
"200738_s_at" 11209 13798 10218 17405 8373 18628
"200739_s_at" 18730 11887 4165 3977 7838 16665
"200740_s_at" 8729 13119 14200 9416 16303 6494
"200741_s_at" 14022 2742 9989 13275 10575 11507
"200742_s_at" 7993 1564 17217 10722 4879 17382
"200743_s_at" 5674 17322 8300 1246 5341 17657
"200744_s_at" 10491 19993 3782 8875 6475 18466
"200745_s_at" 7440 17861 7527 8537 5860 5452
"200746_s_at" 6103 18806 4449 4013 8991 5438
"200747_s_at" 5248 14842 18496 6275 4502 19407
"200748_s_at" 4308 12897 10213 18249 14661 17575
"200749_at" 7021 19045 16509 8341 17669 7538
"200750_s_at" 12189 12773 10058 13341 10659 17344
"200751_s_at" 9862 2913 2264 6969 19151 4065
"200752_s_at" 8556 19741 4882 3709 6937 20227
"200753_x_at" 11877 14818 7353 19136 19080 4706
"200754_x_at" 18572 14351 13918 8435 17016 9650
"200755_s_at" 7332 17215 3318 19470 8757 3660
"200756_x_at" 7942 15569 1697 2581 19732 8995
"200757_s_at" 8547 15088 6633 4211 7124 6621
"200758_s_at" 19769 11950 13824 7545 17464 5155
"200759_x_at" 9564 11775 18524 2696 7271 491
"200760_s_at" 8290 13117 4288 9958 16876 4554
"200761_s_at" 3956 19690 19229 6509 16694 5572
"200762_at" 2158 18857 17021 18304 17245 17122
"200763_s_at" 14180 12820 10165 13456 10781 11668
"200764_s_at" 11119 14238 19344 19331 8319 10180
"200765_x_at" 17425 16396 12697 7866 7229 2903
"200766_at" 21622 19838 17295 7961 6856 7904
"200767_s_at" 4414 19082 15064 3485 4630 7409
"200768_s_at" 8523 16664 18714 18656 7444 18357
"200769_s_at" 11121 17678 1344 5262 20211 6069
"200770_s_at" 4736 13241 15092 5620 2989 2129
"200771_at" 6966 17645 3662 2348 18427 9203
"200772_x_at" 14143 11796 10118 13402 8257 7297
"200773_x_at" 12045 3254 6066 18723 6733 5995
