"inst_838" "inst_955"
"201184_s_at" 17211 16306
"201185_at" 15979 19665
"201186_at" 4306 17061
"201187_s_at" 11470 8903
"201188_s_at" 15025 20786
"201189_s_at" 1730 16043
"201190_s_at" 17151 17875
"201191_at" 19706 2618
"201192_s_at" 17445 18825
"201193_at" 15749 2481
"201194_at" 18136 21405
"201195_s_at" 15441 1113
"201196_s_at" 17313 13988
"201197_at" 3433 17279
"201198_s_at" 20814 19638
"201199_s_at" 3981 13531
"201200_at" 4619 20334
"201201_at" 15027 14766
"201202_at" 18275 21172
"201203_s_at" 166 21070
"201204_s_at" 2615 20540
"201205_at" 11139 4
"201206_s_at" 20796 18714
"201207_at" 17496 17792
"201208_s_at" 1352 18394
"201209_at" 15717 13457
"201210_at" 4317 17428
"201211_s_at" 19051 18367
"201212_at" 16778 18107
"201213_at" 20879 2323
"201214_s_at" 3488 17075
"201215_at" 17609 18609
"201216_at" 1542 1867
"201217_x_at" 7501 2763
"201218_at" 16530 19436
"201219_at" 17603 17570
"201220_x_at" 19562 19738
"201221_s_at" 17563 15831
"201222_s_at" 15175 14822
"201223_s_at" 14253 13579
"201224_s_at" 18722 19867
"201225_s_at" 17896 19697
"201226_at" 2886 16228
"201227_s_at" 15377 2095
"201228_s_at" 607 2561
"201229_s_at" 4195 3865
"201230_s_at" 20036 1663
"201231_s_at" 3898 14426
"201232_s_at" 16364 18055
"201233_at" 18969 20907
"201234_at" 1488 18687
"201235_s_at" 3059 668
"201236_s_at" 250 115
"201237_at" 16105 16729
"201238_s_at" 3724 14931
"201239_s_at" 15407 17484
"201240_s_at" 14335 2609
"201241_at" 15340 3944
"201242_s_at" 21496 20823
"201243_s_at" 21188 13909
"201244_s_at" 18104 14872
"201245_s_at" 14039 18731
"201246_s_at" 900 20149
"201247_at" 303 814
"201248_s_at" 21973 15090
"201249_at" 10670 13096
"201250_s_at" 4372 1093
"201251_at" 3700 15994
"201252_at" 15790 19944
"201253_s_at" 15277 16659
"201254_x_at" 8042 3802
"201255_x_at" 14701 2142
"201256_at" 15777 15152
"201257_x_at" 7632 7257
"201258_at" 3423 14817
"201259_s_at" 15492 15275
"201260_s_at" 18233 20291
"201261_x_at" 6713 5767
"201262_s_at" 7297 12901
"201263_at" 14433 3571
"201264_at" 1683 13855
"201265_at" 6430 5143
"201266_at" 4146 4011
"201267_s_at" 4468 16625
"201268_at" 2937 15486
"201269_s_at" 9795 10311
"201270_x_at" 16186 13730
"201271_s_at" 4169 19984
"201272_at" 11582 9135
"201273_s_at" 17598 21334
"201274_at" 19675 14144
"201275_at" 14427 15853
"201276_at" 22123 1935
"201277_s_at" 16755 3890
"201278_at" 12102 10116
"201279_s_at" 5715 11158
"201280_s_at" 7598 8363
"201281_at" 16388 18847
"201282_at" 2217 1140
"201283_s_at" 15090 10415
"201284_s_at" 20996 21896
"201285_at" 18237 16218
"201286_at" 14398 15507
"201287_s_at" 16052 2163
"201288_at" 21857 21774
"201289_at" 22173 21499
"201290_at" 3294 19420
"201291_s_at" 4346 20561
"201292_at" 2277 18053
"201293_x_at" 7552 3472
"201294_s_at" 6307 880
"201295_s_at" 13044 9772
"201296_s_at" 18127 3154
"201297_s_at" 1671 14601
"201298_s_at" 14365 17324
"201299_s_at" 1888 19822
"201300_s_at" 18978 3003
"201301_s_at" 4065 15783
"201302_at" 18112 16375
"201303_at" 4561 15985
"201304_at" 16925 13932
"201305_x_at" 14527 15524
"201306_s_at" 14719 3119
"201307_at" 15633 19076
"201308_s_at" 21947 20763
"201309_x_at" 1262 1633
"201310_s_at" 15386 17205
"201311_s_at" 767 18457
"201312_s_at" 19489 20504
"201313_at" 3790 917
"201314_at" 14472 20071
"201315_x_at" 17103 3234
"201316_at" 19646 17608
"201317_s_at" 20727 15630
"201318_s_at" 4143 14314
"201319_at" 20033 21694
"201320_at" 331 14789
"201321_s_at" 20982 21906
"201322_at" 15531 14985
"201323_at" 15471 15517
"201324_at" 5036 11504
"201325_s_at" 13427 11827
"201326_at" 20668 18709
"201327_s_at" 4194 17395
"201328_at" 1893 1328
"201329_s_at" 15597 16983
"201330_at" 14858 20188
"201331_s_at" 4525 19430
"201332_s_at" 10411 10347
"201333_s_at" 20808 499
"201334_s_at" 16263 14959
"201335_s_at" 17921 12057
"201336_at" 16490 15429
"201337_s_at" 3195 1688
"201338_x_at" 2455 16514
"201339_s_at" 4115 3897
"201340_s_at" 5703 22246
"201341_at" 581 1331
"201342_at" 16023 3680
"201343_at" 20596 20961
"201344_at" 733 19240
"201345_s_at" 3950 15584
"201346_at" 17371 17223
"201347_x_at" 14609 3633
"201348_at" 17756 21376
"201349_at" 16171 16861
"201350_at" 2069 19290
"201351_s_at" 18365 15356
"201352_at" 16529 17778
"201353_s_at" 19740 22107
"201354_s_at" 17819 4038
"201355_s_at" 10932 5149
"201356_at" 20735 15919
"201357_s_at" 4665 15613
"201358_s_at" 14582 18044
"201359_at" 2527 14661
"201360_at" 15031 20067
"201361_at" 17254 19124
"201362_at" 4656 14263
"201363_s_at" 20115 18321
"201364_s_at" 17242 18696
"201365_at" 18724 2882
"201366_at" 2569 19662
"201367_s_at" 21593 11930
"201368_at" 18911 21531
"201369_s_at" 22264 266
"201370_s_at" 21046 15175
"201371_s_at" 18280 17695
"201372_s_at" 5007 8339
"201373_at" 2047 19553
"201374_x_at" 7293 6094
"201375_s_at" 17088 18899
"201376_s_at" 2701 1903
"201377_at" 16722 19681
"201378_s_at" 1858 14344
"201379_s_at" 15745 14764
"201380_at" 19081 18836
"201381_x_at" 15088 15297
"201382_at" 33 150
"201383_s_at" 2323 1419
"201384_s_at" 4685 3283
"201385_at" 19744 18353
"201386_s_at" 14762 15768
"201387_s_at" 5322 5387
"201388_at" 1664 13803
"201389_at" 22210 987
"201390_s_at" 15898 16463
"201391_at" 14841 14134
"201392_s_at" 21526 17629
"201393_s_at" 19506 18543
"201394_s_at" 1967 16860
"201395_at" 20092 14486
"201396_s_at" 18639 21789
"201397_at" 3405 14523
"201398_s_at" 15913 18096
"201399_s_at" 18982 16464
"201400_at" 4254 15886
"201401_s_at" 19397 2970
"201402_at" 10357 10146
"201403_s_at" 2367 3604
"201404_x_at" 20182 16069
"201405_s_at" 14074 17162
"201406_at" 7796 13967
"201407_s_at" 16519 19747
"201408_at" 18296 21583
"201409_s_at" 3605 15176
"201410_at" 18508 16440
"201411_s_at" 944 21819
"201412_at" 2533 13896
"201413_at" 14895 17419
"201414_s_at" 17360 21412
"201415_at" 17714 16112
"201416_at" 18051 19324
"201417_at" 15880 13649
"201418_s_at" 1001 153
"201419_at" 17970 21905
"201420_s_at" 4298 19973
"201421_s_at" 19209 1883
"201422_at" 16703 20155
"201423_s_at" 20356 18277
"201424_s_at" 18070 14031
"201425_at" 5245 11610
"201426_s_at" 19956 10095
"201427_s_at" 11376 4869
"201428_at" 654 2569
"201429_s_at" 7833 7365
"201430_s_at" 11023 11982
"201431_s_at" 7876 7373
"201432_at" 4123 19796
"201433_s_at" 16806 19648
"201434_at" 16829 2274
"201435_s_at" 16777 18791
"201436_at" 17341 16824
"201437_s_at" 19173 20938
"201438_at" 5867 11712
"201439_at" 3719 19266
"201440_at" 14372 19300
"201441_at" 608 13973
"201442_s_at" 13542 6242
"201443_s_at" 15853 17663
"201444_s_at" 14116 17672
"201445_at" 6769 5787
"201446_s_at" 4486 16795
"201447_at" 14178 16738
"201448_at" 18516 1709
"201449_at" 21121 13716
"201450_s_at" 14881 21313
"201451_x_at" 7355 1815
"201452_at" 6747 5839
"201453_x_at" 16537 1598
"201454_s_at" 17931 20229
"201455_s_at" 14515 18303
