"inst_338" "inst_1528" "inst_1945" "inst_2028" "inst_4667" "inst_5262" "inst_5627"
"200847_s_at" 14415 14358 3910 19516 1838 4267 11490
"200848_at" 3701 1270 20184 21314 5148 16334 5509
"200849_s_at" 10780 14481 20832 3653 8711 16714 12603
"200850_s_at" 10627 17162 3504 20464 15537 6160 13651
"200851_s_at" 13274 13436 5087 15852 16197 17085 3960
"200852_x_at" 8933 13361 20203 3853 2786 3968 4906
"200853_at" 13699 19490 5780 21600 7023 16483 15913
"200854_at" 15279 14316 3580 1274 15309 17612 16689
"200855_at" 17188 16827 5751 10190 17209 14584 19677
"200856_x_at" 16788 13152 18410 19452 5206 18188 15508
"200857_s_at" 14470 18654 2990 21051 16330 2539 16024
"200858_s_at" 11446 18386 2756 19372 7884 19205 5171
"200859_x_at" 3522 15440 6996 3973 5848 15595 16254
"200860_s_at" 10056 17295 18772 5121 15587 17859 14411
"200861_at" 11258 15513 18627 2971 7438 5103 4206
"200862_at" 9022 19373 19976 16937 16625 4522 17383
"200863_s_at" 2410 13706 5163 18086 16356 6898 13064
"200864_s_at" 15570 21225 4411 19919 1460 16646 12583
"200865_at" 4230 6911 8186 9572 13119 11051 11415
"200866_s_at" 8726 15282 2638 5421 895 17624 13184
"200867_at" 16260 2629 3880 20978 17134 18146 11778
"200868_s_at" 9853 3284 18826 17259 3848 16403 15402
"200869_at" 9711 13530 6555 4164 8487 15907 7389
"200870_at" 9759 16516 6553 5603 8634 6741 4789
"200871_s_at" 15168 20193 5476 18606 18417 15400 14978
"200872_at" 1264 4774 19334 5243 7863 6892 3351
"200873_s_at" 3897 14151 6191 19102 5045 5230 12321
"200874_s_at" 10204 20545 21243 3424 19432 21602 20248
"200875_s_at" 14557 19630 4545 4314 16680 17813 14946
"200876_s_at" 10978 14208 3175 20232 8932 6300 13569
"200877_at" 3065 16261 18205 2599 15398 16450 12734
"200878_at" 16847 14073 4554 7536 4697 5334 13905
"200879_s_at" 16473 11882 15974 8557 18841 12651 9512
"200880_at" 14615 17377 5195 18672 7265 19361 17587
"200881_s_at" 2052 16585 3846 3057 7973 7913 12280
"200882_s_at" 3965 14426 6852 16286 5656 6712 5625
"200883_at" 3534 17949 1204 3671 3161 7463 19059
"200884_at" 14348 14816 6607 12739 19931 1326 17247
"200885_at" 9232 4141 6770 770 6560 5524 17026
"200886_s_at" 10940 16699 5673 19604 17042 17467 15585
"200887_s_at" 11990 19361 19117 3634 8289 3563 3485
"200888_s_at" 8929 19102 6946 16105 8646 6685 2837
"200889_s_at" 2955 17089 4764 20528 3935 15813 19907
"200890_s_at" 10930 17940 5142 15778 8097 3887 4541
"200891_s_at" 14238 19140 6341 20745 18706 2453 2085
"200892_s_at" 13493 16424 3676 17593 4129 18182 18820
"200893_at" 12371 16874 3875 20487 4740 15322 12924
"200894_s_at" 8626 14062 21596 996 4854 17530 17115
"200895_s_at" 1195 16990 21388 54 4286 5795 18874
"200896_x_at" 12515 4580 21844 3863 16376 15755 4582
"200897_s_at" 9075 3242 18457 7861 9272 2984 5473
"200898_s_at" 9787 2691 7457 17441 5961 20470 15776
"200899_s_at" 18072 19585 19134 17009 20037 18980 3503
"200900_s_at" 11024 2935 5182 1593 17147 7016 14501
"200901_s_at" 9579 4467 161 18953 16379 19530 14188
"200902_at" 15416 16883 3603 21669 6049 4815 16152
"200903_s_at" 9472 13392 18590 2984 5818 15251 4351
"200904_at" 710 20032 2662 2964 5960 19522 19217
"200905_x_at" 11380 18749 19396 17063 8900 16805 15723
"200906_s_at" 2835 5700 952 11684 21310 7352 3119
"200907_s_at" 784 13179 3802 9719 16601 6764 5754
"200908_s_at" 995 13789 10232 15331 17750 16556 22215
