"inst_1" "inst_2" "inst_3" "inst_4" "inst_61" "inst_1694" "inst_1816" "inst_1858" "inst_5068" "inst_5487"
"200731_s_at" 6998 18319 3188 8301 14126 4409 5806 8993 20367 8116
"200732_s_at" 5457 15426 7223 3474 14119 17495 9569 6376 6100 8021
"200733_s_at" 19276 20028 21671 19527 15928 20864 20736 544 6962 9063
"200734_s_at" 6041 3372 5309 8492 4978 20638 21633 6741 17481 20736
"200735_x_at" 16217 16542 17220 17268 14357 4294 8304 21682 9414 7576
"200736_s_at" 14662 10242 13159 15534 9265 6856 7840 9316 17032 11148
"200737_at" 18645 19323 18054 18037 18202 4278 1536 3727 8117 3674
"200738_s_at" 17042 16573 15846 17645 14293 4241 20024 11204 16913 17228
"200739_s_at" 18657 19357 18806 18402 15308 1810 19438 6139 6271 3026
"200740_s_at" 2937 13706 4634 3042 18344 18406 5167 7509 9040 17533
"200741_s_at" 17235 13946 18417 19110 3532 5386 19880 21783 18021 11777
"200742_s_at" 2004 2462 4025 1686 4909 16100 8307 5180 9324 8397
"200743_s_at" 21432 20292 19286 17394 3693 17176 6747 7339 6400 16943
"200744_s_at" 8159 14791 6079 16554 17913 4555 5943 7096 8738 8662
"200745_s_at" 8288 16266 7339 17472 17537 3510 7850 7245 7993 3855
"200746_s_at" 6470 15713 15122 6735 16246 20712 1331 9398 6775 8026
"200747_s_at" 3916 3214 18135 8022 1597 18843 4019 5047 1201 9438
"200748_s_at" 15600 18003 15944 16793 14989 3139 7972 10321 10096 3263
"200749_at" 19138 21934 21462 17055 16569 20402 5900 3725 8579 7699
"200750_s_at" 15811 15842 17628 17968 17749 4103 19097 10055 10524 9481
"200751_s_at" 6961 19131 19389 16635 5961 1795 4893 1793 18566 7781
"200752_s_at" 5991 4855 2829 19312 363 21846 8825 9536 6760 1070
"200753_x_at" 3007 4075 8335 8565 3607 2562 6080 2209 19049 6765
"200754_x_at" 8203 16997 15971 17850 4820 16583 7409 11091 4359 6264
"200755_s_at" 1536 4423 1563 1834 20325 18362 19749 6207 9680 8483
"200756_x_at" 3854 3830 17827 6823 3434 3452 1198 6755 4492 22245
"200757_s_at" 7097 17448 17099 9617 17437 18898 5030 6686 5243 9240
"200758_s_at" 17705 4697 18260 20628 20752 19171 2141 10827 3466 2105
"200759_x_at" 16925 14737 7625 8450 2192 1908 5606 9999 3498 1280
"200760_s_at" 19980 16528 16289 6518 16685 2863 3533 3506 6854 5770
"200761_s_at" 20868 20800 21548 20019 260 18672 3311 6975 4214 9231
"200762_at" 1922 20184 18851 4208 15709 20297 8494 8410 4772 9251
"200763_s_at" 7031 13996 18040 17036 4486 6258 19875 21517 9753 17523
"200764_s_at" 5325 3846 6383 8049 14431 1728 15173 5377 5141 5747
"200765_x_at" 7142 19337 16411 17136 13873 6098 15781 13116 12379 7696
"200766_at" 6377 20289 15272 6146 19236 17724 5560 11417 8868 6499
"200767_s_at" 19111 19158 4264 4479 16315 379 5160 6006 18570 6438
"200768_s_at" 6754 17241 16629 7830 15293 16216 649 5162 6704 6768
"200769_s_at" 3707 14105 3127 3638 17906 3253 2852 822 8595 20115
"200770_s_at" 8313 17062 21582 3874 5536 93 3458 5074 1731 2634
"200771_at" 7086 18597 5080 4523 20552 20231 2669 8469 4012 1665
"200772_x_at" 4177 2745 7414 16495 17547 5986 8194 12206 17639 17956
"200773_x_at" 16141 16749 19696 19039 4906 5275 6547 12224 17685 18164
"200774_at" 6871 18744 20429 16656 19194 3762 19459 4312 8905 7737
"200775_s_at" 16999 16385 5811 2855 17751 5101 847 11870 5349 18370
"200776_s_at" 7792 19019 17579 17578 4709 1284 9491 4503 19603 16884
"200777_s_at" 5668 20667 18320 8724 14256 4026 5676 9084 8783 4977
"200778_s_at" 7303 14179 16299 16976 14954 4679 6438 5324 18660 7462
"200779_at" 5380 2126 6907 17299 19883 6134 6062 11416 10368 6090
"200780_x_at" 6459 3935 7853 17478 2676 16717 6004 12217 6468 8255
"200781_s_at" 18924 4657 17131 20422 18487 6147 7875 21813 19222 9373
"200782_at" 18545 18243 15652 8899 17953 15382 5947 4352 8060 5815
"200783_s_at" 5864 21738 20300 21612 3044 5085 4910 6781 4578 4610
"200784_s_at" 9731 7190 9700 11752 8046 10912 5614 20915 760 12860
"200785_s_at" 14397 11079 13737 3187 21736 13646 14138 19079 11319 15101
"200786_at" 16254 15385 18545 7659 4285 15785 7446 10035 8933 5842
"200787_s_at" 19249 17346 20950 19774 4371 1597 7472 11171 20297 19143
"200788_s_at" 16343 17683 7534 16937 1873 4763 9347 7612 7187 17984
"200789_at" 4849 3080 15479 2451 18204 4941 990 7463 17135 5299
"200790_at" 16317 13215 8092 8375 20818 16801 5198 4458 10473 6269
"200791_s_at" 20326 17966 17640 19320 4541 5807 18990 7826 17665 9331
"200792_at" 17328 17078 16202 17956 17718 15568 19063 11598 6050 8877
"200793_s_at" 1965 12268 5122 9574 5897 15381 699 5536 7877 7763
"200794_x_at" 16996 17919 17832 16419 18705 18296 843 9845 4755 7677
"200795_at" 15753 13818 19078 9267 1239 10594 8273 21203 12305 1643
"200796_s_at" 19381 15775 19841 19598 6227 278 11369 599 20812 1189
"200797_s_at" 19588 18728 15918 4659 16936 20184 1709 5606 1929 18570
"200798_x_at" 4128 17628 4353 3325 16199 1848 6819 1888 8919 3118
"200799_at" 21668 17690 8374 17183 18273 4088 18735 17560 18646 18002
"200800_s_at" 19476 20228 19582 9257 19585 19278 6858 333 6225 2447
"200801_x_at" 5501 11946 15449 18253 3650 15541 9158 21699 12394 19202
"200802_at" 8462 4190 5657 6655 16451 3758 5350 10487 10218 7641
"200803_s_at" 8457 12993 6213 17463 16043 16551 4533 8258 17324 7768
"200804_at" 15930 13460 16543 17559 15426 4027 6717 9498 8795 8984
"200805_at" 7470 12625 15830 4060 16811 17482 19662 6275 8855 5635
"200806_s_at" 1993 2178 1993 1270 17727 1873 4185 7663 9926 8238
"200807_s_at" 16677 15296 17150 9432 15002 15779 8756 10414 16768 8845
"200808_s_at" 3962 13799 17850 4353 4524 15131 1430 5887 7276 18063
"200809_x_at" 19568 13465 16993 17083 18367 16331 19979 21818 9020 20440
"200810_s_at" 8532 15433 2014 5706 16739 16400 6648 6680 17476 17136
"200811_at" 16139 13927 7874 8536 2487 16373 3890 4741 6865 3704
"200812_at" 17427 20031 15195 18049 17207 5217 19743 8290 9044 20187
"200813_s_at" 4853 1910 3554 2658 5861 16040 1281 5147 5568 16843
"200814_at" 3989 1481 1719 1867 17949 18863 8619 6736 8445 20091
"200815_s_at" 7758 12380 6358 4660 16491 19802 4684 2367 7266 5814
"200816_s_at" 8598 4946 19883 4486 14853 19931 7054 7158 6856 6046
"200817_x_at" 6726 4738 16951 18940 2547 16341 18789 21712 12406 11771
"200818_at" 17029 16116 18556 16488 18366 15178 7624 10630 16664 5512
"200819_s_at" 6538 13114 15552 8806 15889 16632 20113 21648 10399 8040
"200820_at" 8456 18513 5706 6045 19637 16082 6906 7622 18276 6776
"200821_at" 17588 20472 18022 1779 1024 19266 2014 1280 7501 17562
"200822_x_at" 7902 4581 7564 6131 18992 19691 8090 11909 7938 7167
"200823_x_at" 6198 12549 5583 8233 2437 15827 5999 12199 4154 4956
"200824_at" 2203 4533 7485 7065 18581 13523 7482 9669 17858 13167
"200825_s_at" 15351 13405 8266 6506 17615 3508 8491 6208 5644 4791
"200826_at" 6352 12988 6781 17878 14244 6278 8447 10719 6402 9214
"200827_at" 1775 3693 675 5855 17255 19158 7743 10302 5766 2846
"200828_s_at" 18560 12723 7029 6012 16665 2776 2940 7713 8111 7567
"200829_x_at" 6213 13563 4571 4599 15532 16495 5464 8634 7335 18187
"200830_at" 15326 17089 15329 9088 17006 3921 6566 3349 4871 17305
"200831_s_at" 16369 13207 16487 17974 14544 6243 5195 5544 4099 4451
"200832_s_at" 16775 19449 18636 20568 18374 17807 1418 11700 4140 6898
