"inst_325" "inst_449" "inst_484" "inst_489" "inst_493" "inst_544" "inst_836" "inst_953" "inst_999" "inst_1057" "inst_1160" "inst_1219" "inst_1644" "inst_2679" "inst_4443" "inst_5216" "inst_5579" "inst_5947" "inst_5952" "inst_6178" "inst_6938" "inst_6979"
"200040_at" 1159 6603 5070 2375 2067 2871 2491 3442 4559 2414 5006 15224 3336 4751 14944 2380 3947 4349 6249 11858 13395 5122
"200041_s_at" 2683 7420 17312 4418 5380 8788 15019 16811 18249 20669 19752 15533 19722 10761 14831 17564 20090 18536 9013 16419 16673 18623
"200042_at" 18146 20514 8735 2318 4509 7816 18070 16948 14066 4661 18664 15240 18093 10999 7968 12808 10096 13795 8928 16727 15832 17249
"200043_at" 2935 6547 19384 16230 9597 22072 14635 4356 16516 2899 19235 16108 17389 10173 6039 2038 16346 15488 8782 16124 14916 17895
"200044_at" 6572 9101 5733 14397 7803 6803 15953 17522 16931 19055 4489 17555 17358 7847 15551 15263 7991 17046 5734 16917 14852 16056
"200045_at" 17197 18508 4023 17985 6314 18711 16727 17289 15379 20685 18548 17980 19132 12265 15244 18365 7115 14792 7545 17542 14806 18865
"200046_at" 18977 18296 16526 14723 7214 19959 14150 15704 16031 2639 17207 17372 2582 5122 14101 16776 4809 20655 7200 16885 16981 15238
"200047_s_at" 6801 4972 8553 3030 3475 19785 14541 3793 16748 5088 5649 4754 886 7263 6007 13768 3669 19692 3596 17846 15351 5401
"200048_s_at" 16543 6562 9125 16013 6711 8925 14683 17610 16288 4062 18823 14932 17644 10185 14299 15122 9887 15110 8684 19836 19104 18711
"200049_at" 14533 17831 4666 14479 19762 2190 13747 16933 1109 1475 2162 5339 2235 2571 4285 14450 4601 13767 7892 12869 4503 4943
"200050_at" 1781 4077 6868 2661 5612 4012 1098 19821 2859 20049 20009 16401 13997 10962 16427 18156 8369 1605 7001 2313 19838 14983
"200051_at" 5902 8838 18583 5139 2465 6300 17016 15216 3196 19218 19194 13571 19523 19840 18878 16511 18674 12381 5676 17190 14106 21447
