"inst_837" "inst_954"
"200926_at" 7648 7434
"200927_s_at" 14675 13686
"200928_s_at" 13436 9508
"200929_at" 18739 16541
"200930_s_at" 12025 6289
"200931_s_at" 1034 554
"200932_s_at" 2045 1420
"200933_x_at" 8149 15529
"200934_at" 19127 18857
"200935_at" 20382 19565
"200936_at" 7979 16488
"200937_s_at" 15271 16459
"200938_s_at" 12135 7866
"200939_s_at" 6685 10584
"200940_s_at" 19058 3394
"200941_at" 15189 15019
"200942_s_at" 2022 1997
"200943_at" 14837 17049
"200944_s_at" 3530 14004
"200945_s_at" 14251 13940
"200946_x_at" 19948 17295
"200947_s_at" 19315 19668
"200948_at" 14150 14754
"200949_x_at" 2122 15088
"200950_at" 16353 13747
"200951_s_at" 9948 10420
"200952_s_at" 6017 9917
"200953_s_at" 5057 5424
"200954_at" 20367 19500
"200955_at" 15154 15211
"200956_s_at" 2305 14442
"200957_s_at" 17909 3358
"200958_s_at" 18261 3666
"200959_at" 994 15447
"200960_x_at" 2407 15654
"200961_at" 808 18434
"200962_at" 14776 14762
"200963_x_at" 7839 7565
"200964_at" 1482 17970
"200965_s_at" 18500 2051
"200966_x_at" 4551 16939
"200967_at" 16301 15874
"200968_s_at" 13858 18089
"200969_at" 15830 19233
"200970_s_at" 16463 2753
"200971_s_at" 15751 17032
"200972_at" 17762 14613
"200973_s_at" 2386 20052
"200974_at" 18336 19986
"200975_at" 17737 15725
"200976_s_at" 19138 3215
"200977_s_at" 4035 2337
"200978_at" 14844 3107
"200979_at" 17567 16922
"200980_s_at" 20154 17715
"200981_x_at" 3191 3767
"200982_s_at" 17436 17187
"200983_x_at" 18801 19585
"200984_s_at" 19047 14850
"200985_s_at" 19412 15884
"200986_at" 8020 11388
"200987_x_at" 19667 17181
"200988_s_at" 17240 21386
"200989_at" 18140 2983
"200990_at" 1563 14327
"200991_s_at" 21234 17007
"200992_at" 2877 4049
"200993_at" 16757 16049
"200994_at" 15379 18245
"200995_at" 15970 20348
"200996_at" 3516 14176
"200997_at" 18309 18472
"200998_s_at" 14824 17210
"200999_s_at" 18107 13851
"201000_at" 1982 1328
"201001_s_at" 16517 16628
"201002_s_at" 14031 14528
"201003_x_at" 17984 14938
"201004_at" 17927 13912
"201005_at" 13979 4032
"201006_at" 6051 13408
"201007_at" 14900 19639
"201008_s_at" 15397 947
"201009_s_at" 16318 320
"201010_s_at" 1912 3904
"201011_at" 15776 15807
"201012_at" 224 1870
"201013_s_at" 15169 14804
"201014_s_at" 18424 15450
"201015_s_at" 15010 16817
"201016_at" 16943 19124
"201017_at" 18243 19033
"201018_at" 20150 17173
"201019_s_at" 19084 18148
"201020_at" 15558 1887
"201021_s_at" 4396 14458
"201022_s_at" 3628 2018
"201023_at" 4413 16907
"201024_x_at" 14143 2495
"201025_at" 17015 18475
"201026_at" 22046 21147
"201027_s_at" 18518 15542
"201028_s_at" 4118 19937
"201029_s_at" 4485 15317
"201030_x_at" 11971 13413
"201031_s_at" 15290 16022
"201032_at" 20267 17001
"201033_x_at" 14300 3826
"201034_at" 1729 1310
"201035_s_at" 1615 13748
"201036_s_at" 19030 20967
"201037_at" 14248 4043
"201038_s_at" 21729 18337
"201039_s_at" 3650 16948
"201040_at" 20162 484
"201041_s_at" 2830 943
"201042_at" 2203 9943
"201043_s_at" 20043 1199
"201044_x_at" 7292 11673
"201045_s_at" 10542 3353
"201046_s_at" 19860 3400
"201047_x_at" 14168 2104
"201048_x_at" 958 637
"201049_s_at" 7950 15488
"201050_at" 821 16403
"201051_at" 20340 16931
"201052_s_at" 18224 19714
"201053_s_at" 21920 2826
"201054_at" 14692 17659
"201055_s_at" 4500 506
"201056_at" 642 21894
"201057_s_at" 14629 19438
"201058_s_at" 12635 10374
"201059_at" 3083 21071
"201060_x_at" 17055 20585
"201061_s_at" 15308 19352
"201062_at" 11795 4401
"201063_at" 9999 10513
"201064_s_at" 16558 16664
"201065_s_at" 17847 15667
"201066_at" 14710 15832
"201067_at" 4282 16663
"201068_s_at" 16119 13678
"201069_at" 5697 5216
"201070_x_at" 18978 20382
"201071_x_at" 14258 14369
"201072_s_at" 17409 2032
"201073_s_at" 16383 13863
"201074_at" 3213 17088
"201075_s_at" 17849 2044
"201076_at" 3109 14965
"201077_s_at" 17481 20198
"201078_at" 17145 19955
"201079_at" 19391 19842
"201080_at" 16026 19449
"201081_s_at" 21985 4067
"201082_s_at" 4496 4087
"201083_s_at" 20978 17668
"201084_s_at" 14603 3644
"201085_s_at" 14365 21258
"201086_x_at" 17646 15159
"201087_at" 18098 2484
"201088_at" 16699 14380
"201089_at" 16492 14514
"201090_x_at" 7804 16011
"201091_s_at" 14089 17392
"201092_at" 17032 3556
"201093_x_at" 4544 14941
"201094_at" 4477 4037
"201095_at" 20518 17652
"201096_s_at" 16749 1534
"201097_s_at" 19312 18310
"201098_at" 4231 15318
"201099_at" 16039 15421
"201100_s_at" 14065 14552
"201101_s_at" 20776 15327
"201102_s_at" 3463 21062
"201103_x_at" 4283 920
"201104_x_at" 2237 3796
"201105_at" 14415 14627
"201106_at" 17842 17988
"201107_s_at" 8348 13306
"201108_s_at" 21510 3425
"201109_s_at" 17651 1717
"201110_s_at" 20625 20262
"201111_at" 15861 16456
"201112_s_at" 14239 16809
"201113_at" 15407 17874
"201114_x_at" 16606 14784
"201115_at" 21155 19699
"201116_s_at" 3123 1312
"201117_s_at" 17142 20533
"201118_at" 14161 16045
"201119_s_at" 16912 16608
"201120_s_at" 16638 13725
"201121_s_at" 17326 17658
"201122_x_at" 19678 21365
"201123_s_at" 19786 16067
"201124_at" 529 21854
"201125_s_at" 19815 19618
"201126_s_at" 22095 13939
"201127_s_at" 14338 3664
"201128_s_at" 14023 14527
"201129_at" 19778 2303
"201130_s_at" 20268 16188
"201131_s_at" 16222 3689
"201132_at" 20483 18426
"201133_s_at" 20558 3946
"201134_x_at" 15929 3062
"201135_at" 15915 14940
"201136_at" 19531 19666
"201137_s_at" 6023 13022
"201138_s_at" 15095 15048
"201139_s_at" 17005 16305
"201140_s_at" 3549 22131
"201141_at" 13740 5739
"201142_at" 19117 20152
"201143_s_at" 19425 17440
"201144_s_at" 14326 14912
"201145_at" 17826 3860
"201146_at" 16965 15337
"201147_s_at" 11121 11502
"201148_s_at" 5134 8444
"201149_s_at" 5652 6505
"201150_s_at" 12226 6812
"201151_s_at" 22176 15563
"201152_s_at" 17770 14886
"201153_s_at" 18826 3700
"201154_x_at" 3184 2467
"201155_s_at" 1691 18796
"201156_s_at" 17793 14792
"201157_s_at" 3376 16494
"201158_at" 20185 21237
"201159_s_at" 19744 21073
"201160_s_at" 17225 19492
"201161_s_at" 17888 20580
"201162_at" 11633 4431
"201163_s_at" 5554 11277
"201164_s_at" 19953 13774
"201165_s_at" 18614 14470
"201166_s_at" 4376 17027
"201167_x_at" 3524 1494
"201168_x_at" 16732 2502
"201169_s_at" 13356 1896
"201170_s_at" 13911 1841
"201171_at" 1466 2291
"201172_x_at" 18430 17094
"201173_x_at" 19481 2394
"201174_s_at" 20288 16653
"201175_at" 16709 17646
"201176_s_at" 3607 17794
"201177_s_at" 17645 18862
"201178_at" 3466 16489
"201179_s_at" 4713 16138
"201180_s_at" 16499 14947
"201181_at" 16272 14246
"201182_s_at" 3520 14964
"201183_s_at" 13863 21142
"201184_s_at" 14438 15070
"201185_at" 17026 16645
"201186_at" 18639 20037
"201187_s_at" 11223 6635
"201188_s_at" 21731 16869
"201189_s_at" 21681 3125
"201190_s_at" 14265 15647
"201191_at" 17558 15144
"201192_s_at" 4322 18985
"201193_at" 19429 14319
"201194_at" 3032 20023
"201195_s_at" 18123 15796
"201196_s_at" 20337 15026
"201197_at" 15217 18633
"201198_s_at" 15593 17026
"201199_s_at" 4528 15238
"201200_at" 17275 21707
"201201_at" 14094 15410
"201202_at" 16045 15362
"201203_s_at" 815 21453
"201204_s_at" 15151 19337
"201205_at" 1754 8045
"201206_s_at" 21869 21878
"201207_at" 17750 16433
"201208_s_at" 21560 1749
"201209_at" 19697 3390
"201210_at" 16918 14149
"201211_s_at" 21478 1509
"201212_at" 20178 19553
"201213_at" 17146 15324
"201214_s_at" 17062 15678
"201215_at" 17242 16994
"201216_at" 14770 14351
"201217_x_at" 8162 2168
"201218_at" 17417 14843
"201219_at" 4663 17982
"201220_x_at" 3556 17908
"201221_s_at" 19020 15857
"201222_s_at" 17689 1391
"201223_s_at" 14984 15110
"201224_s_at" 17267 19279
"201225_s_at" 16746 17673
"201226_at" 3117 18609
"201227_s_at" 18009 14239
"201228_s_at" 608 22241
"201229_s_at" 15865 19521
"201230_s_at" 2679 18053
"201231_s_at" 16782 15671
"201232_s_at" 21016 19077
"201233_at" 14117 18605
"201234_at" 1953 17375
"201235_s_at" 11057 13059
"201236_s_at" 1515 3756
"201237_at" 16210 14704
"201238_s_at" 15506 3679
"201239_s_at" 16505 3007
"201240_s_at" 14579 3059
"201241_at" 15389 13679
"201242_s_at" 16726 21484
"201243_s_at" 19400 17344
"201244_s_at" 18671 3036
"201245_s_at" 17910 16786
"201246_s_at" 2489 16374
"201247_at" 1512 14960
"201248_s_at" 13879 51
"201249_at" 4889 11231
"201250_s_at" 20215 1359
"201251_at" 14024 16740
"201252_at" 19551 17497
"201253_s_at" 15782 20496
"201254_x_at" 8154 15058
"201255_x_at" 2693 16623
"201256_at" 16112 3766
"201257_x_at" 7687 7399
"201258_at" 14045 14610
"201259_s_at" 18786 3237
"201260_s_at" 20242 17765
"201261_x_at" 2420 8262
"201262_s_at" 5852 9341
"201263_at" 4648 20230
"201264_at" 4406 19528
"201265_at" 5679 5798
"201266_at" 20848 15731
"201267_s_at" 4188 2873
"201268_at" 3638 2446
"201269_s_at" 10596 5100
"201270_x_at" 16335 1472
"201271_s_at" 14708 18398
"201272_at" 10432 13521
"201273_s_at" 18950 17499
"201274_at" 15204 15515
"201275_at" 16845 2324
"201276_at" 20130 17304
"201277_s_at" 17316 14495
"201278_at" 9942 10197
"201279_s_at" 11767 11255
"201280_s_at" 8122 4236
"201281_at" 4612 17082
"201282_at" 21490 18314
"201283_s_at" 19243 6304
"201284_s_at" 17520 20379
"201285_at" 17067 17599
"201286_at" 21094 1719
"201287_s_at" 17859 16979
"201288_at" 20029 21573
"201289_at" 22206 21973
"201290_at" 4683 15765
"201291_s_at" 4126 18597
"201292_at" 4326 13781
"201293_x_at" 7825 3481
"201294_s_at" 9260 3724
"201295_s_at" 12948 3571
"201296_s_at" 3696 14765
"201297_s_at" 18043 16551
"201298_s_at" 14916 17004
"201299_s_at" 17449 1210
"201300_s_at" 20542 20459
"201301_s_at" 3512 15745
"201302_at" 17170 3029
"201303_at" 15108 15105
"201304_at" 19582 18181
"201305_x_at" 18791 15453
"201306_s_at" 3357 2503
"201307_at" 20699 17522
"201308_s_at" 22243 4098
"201309_x_at" 590 19860
"201310_s_at" 4513 1949
"201311_s_at" 1773 16184
"201312_s_at" 14145 17900
"201313_at" 2003 2868
"201314_at" 628 21326
"201315_x_at" 16764 14859
"201316_at" 16097 14921
"201317_s_at" 16995 17154
"201318_s_at" 3920 2564
"201319_at" 3884 15417
"201320_at" 20878 22112
"201321_s_at" 18446 19959
"201322_at" 17251 3035
"201323_at" 16004 18831
"201324_at" 5632 4657
"201325_s_at" 12929 11974
"201326_at" 15927 20644
"201327_s_at" 14585 18611
"201328_at" 193 940
"201329_s_at" 2360 235
"201330_at" 17362 15299
"201331_s_at" 3537 13996
"201332_s_at" 6281 8800
"201333_s_at" 1735 17387
"201334_s_at" 19135 2398
"201335_s_at" 17656 118
"201336_at" 14448 16620
"201337_s_at" 17118 1979
"201338_x_at" 13962 16695
"201339_s_at" 21067 2428
"201340_s_at" 12702 3018
"201341_at" 17192 19036
"201342_at" 17917 18297
"201343_at" 17379 15521
"201344_at" 1397 1805
"201345_s_at" 1969 14671
"201346_at" 19832 17762
"201347_x_at" 16486 15568
"201348_at" 4535 18774
"201349_at" 3893 3110
"201350_at" 17084 19129
"201351_s_at" 16753 15353
"201352_at" 17351 15059
"201353_s_at" 17603 17938
"201354_s_at" 2644 20331
"201355_s_at" 10960 5971
"201356_at" 21567 15204
"201357_s_at" 1408 2130
"201358_s_at" 15223 14476
"201359_at" 1881 17282
"201360_at" 19771 16991
"201361_at" 22194 18510
"201362_at" 17682 19867
"201363_s_at" 21547 18449
"201364_s_at" 4414 13641
"201365_at" 21709 2735
"201366_at" 2917 2931
"201367_s_at" 487 11198
"201368_at" 19738 22184
"201369_s_at" 22144 13994
"201370_s_at" 20405 845
"201371_s_at" 19367 3955
"201372_s_at" 5419 1240
"201373_at" 20080 17194
"201374_x_at" 9452 13188
"201375_s_at" 14097 13746
"201376_s_at" 2827 2091
"201377_at" 14533 19505
"201378_s_at" 4349 805
"201379_s_at" 17063 14725
"201380_at" 17263 18967
"201381_x_at" 16837 17383
"201382_at" 29 1039
"201383_s_at" 1486 779
"201384_s_at" 15669 2557
"201385_at" 15246 21089
"201386_s_at" 14364 14051
"201387_s_at" 10037 5207
"201388_at" 13900 2478
"201389_at" 15534 205
"201390_s_at" 17707 16750
"201391_at" 17155 13666
"201392_s_at" 18550 14997
"201393_s_at" 18071 3803
"201394_s_at" 3863 14510
"201395_at" 2035 20086
"201396_s_at" 22032 636
"201397_at" 14163 14529
"201398_s_at" 18436 21527
"201399_s_at" 16021 13890
"201400_at" 14865 13652
"201401_s_at" 21072 2243
"201402_at" 10725 10338
"201403_s_at" 14907 16104
"201404_x_at" 21747 22215
"201405_s_at" 4070 17990
"201406_at" 7676 13935
"201407_s_at" 17388 17912
"201408_at" 1712 16564
"201409_s_at" 20034 16866
"201410_at" 16989 16661
"201411_s_at" 20166 21535
"201412_at" 14648 19783
"201413_at" 4111 18630
"201414_s_at" 3856 20669
"201415_at" 19894 21524
"201416_at" 2920 1417
"201417_at" 3611 15943
"201418_s_at" 2503 2193
"201419_at" 2545 16285
"201420_s_at" 15351 20012
"201421_s_at" 20306 18492
"201422_at" 907 1845
"201423_s_at" 16130 1087
"201424_s_at" 20789 21674
"201425_at" 5674 6488
"201426_s_at" 19827 13039
"201427_s_at" 9103 10881
"201428_at" 14030 17690
"201429_s_at" 7470 7180
"201430_s_at" 4830 313
"201431_s_at" 7505 7147
"201432_at" 15093 18447
"201433_s_at" 19892 15699
"201434_at" 18130 20147
"201435_s_at" 16389 15217
"201436_at" 15579 1684
"201437_s_at" 21873 13697
"201438_at" 5471 11859
"201439_at" 1708 681
"201440_at" 3152 19659
"201441_at" 1895 13910
"201442_s_at" 1172 6454
"201443_s_at" 17033 2604
"201444_s_at" 19835 16156
"201445_at" 4995 12098
"201446_s_at" 2508 16016
"201447_at" 17833 21788
"201448_at" 19536 18022
"201449_at" 3339 21645
"201450_s_at" 19415 4061
"201451_x_at" 9886 13381
"201452_at" 11165 11537
"201453_x_at" 16084 1915
"201454_s_at" 19252 17974
"201455_s_at" 15155 16908
