"inst_1000" "inst_1058" "inst_1161" "inst_1220" "inst_1645" "inst_2680" "inst_4444" "inst_5217" "inst_5580" "inst_6179" "inst_6939" "inst_6980"
"200663_at" 5763 3302 5833 14187 5794 7116 15788 6352 16145 5922 16228 5942
"200664_s_at" 914 143 294 305 214 313 73 623 816 275 1164 455
"200665_s_at" 6358 11001 8378 12862 13247 13618 20880 9284 12080 9265 9321 8212
"200666_s_at" 958 334 105 392 451 128 136 692 1194 294 571 500
"200667_at" 20320 20768 19891 15710 21226 19112 19003 20316 20724 16988 20887 19012
"200668_s_at" 19142 18970 19245 17226 18212 16210 8707 18499 18283 17332 18511 18711
"200669_s_at" 20090 18752 18774 14569 18540 18499 9678 19578 18724 17744 20133 19811
"200670_at" 22238 22258 22102 22082 22252 21537 21634 22257 22232 21765 22261 22246
"200671_s_at" 2879 17917 12160 783 10333 7681 19388 2140 15110 3672 2203 14278
"200672_x_at" 4252 4343 20520 13233 21274 22018 8787 4302 13519 13709 2995 16961
"200673_at" 2429 2138 2903 3492 1931 1402 5966 2872 3226 2922 2757 3171
"200674_s_at" 9694 16509 16304 4690 4973 11123 15910 14996 6990 9755 15651 15218
"200675_at" 4636 3377 3436 14769 4037 3853 5196 3160 4485 5418 2225 3878
"200676_s_at" 21190 21876 5619 19508 19682 6458 16305 21301 21889 3517 21677 3180
"200677_at" 2748 2028 1498 2365 2464 1603 5147 3536 3884 4101 2129 2048
"200678_x_at" 909 702 2303 15080 1069 5917 5519 1101 1124 4360 1042 1095
"200679_x_at" 5232 4705 19668 13946 17578 18159 18065 16419 14453 19350 17197 18536
"200680_x_at" 16118 17700 18608 14445 15935 9506 16234 17114 9086 14026 15824 16546
"200681_at" 4906 4834 16732 4713 4635 8599 6934 6616 14590 7560 4786 5772
"200682_s_at" 19030 17810 19023 16033 17963 16865 17524 18461 17649 18063 19074 18956
"200683_s_at" 20074 19775 17791 20784 19713 16260 19902 20293 19363 17752 20486 19653
"200684_s_at" 20484 21157 18828 18599 21279 16962 19633 21631 20409 17626 20461 20931
"200685_at" 19355 21758 6279 14776 21069 5215 9724 15562 17135 13758 18661 17076
"200686_s_at" 19670 17409 18806 18273 16923 8459 8840 17759 18817 17978 20686 17303
"200687_s_at" 19867 19072 21014 17834 20327 20130 17418 19899 19325 20415 20048 20307
"200688_at" 4379 2609 16197 18289 4625 2332 18311 16256 16709 2297 4578 21473
"200689_x_at" 5396 5341 6156 13250 4981 11160 15793 7345 13067 9790 6273 4977
"200690_at" 18618 18296 6069 16377 16657 16815 16098 15472 16252 16571 19406 16350
"200691_s_at" 17272 19370 19121 18865 17820 18167 16091 17696 17523 18189 18040 17914
"200692_s_at" 17378 5702 19908 12952 18440 18596 18830 17780 16334 20633 19108 18487
"200693_at" 15776 17701 6395 13918 15266 5760 7358 7313 13666 5416 15329 15838
"200694_s_at" 4774 5080 6027 2837 4109 8777 4699 5788 6569 6414 5505 4904
"200695_at" 19632 21444 21365 21621 15195 21320 18655 19771 19329 20088 19483 19841
"200696_s_at" 1194 1020 895 936 799 1404 1616 1345 2069 4766 888 1337
"200697_at" 2635 1440 949 2922 3375 1596 2239 3124 6475 783 2556 2927
"200698_at" 16455 17357 4259 13992 16413 4448 9890 15564 14110 4703 5618 15549
"200699_at" 16181 5203 1536 4950 15582 2531 8360 7315 6959 2036 2628 6643
"200700_s_at" 15525 4777 16332 13915 14852 5286 8806 15053 14367 13816 6867 6021
"200701_at" 996 442 1070 3658 491 1893 4487 793 1020 1375 1932 924
"200702_s_at" 4869 3429 5264 3204 2499 9148 3110 5177 3096 16563 3427 3858
"200703_at" 2878 1317 1806 1274 2145 1041 4026 2438 3412 4405 2547 2638
"200704_at" 4520 4466 17210 14779 14630 5507 8345 5814 5764 7019 4183 5946
"200705_s_at" 5003 4744 16249 13333 15570 10998 7328 15960 5623 9627 15816 15463
"200706_s_at" 4723 5348 17446 4171 4603 8874 15971 4286 4638 5718 15672 4604
"200707_at" 4349 2810 2224 14258 5260 2105 9207 16875 6544 5989 6847 15492
"200708_at" 15476 4178 4383 16873 16527 7912 10043 15225 14930 5803 4169 15464
"200709_at" 5837 3986 4057 15635 14924 3703 9847 16003 6169 6160 4051 14934
"200710_at" 17163 4209 7638 15161 18236 15694 5489 14964 15130 16892 5394 18444
"200711_s_at" 5829 2471 2505 4129 2735 3006 3636 2602 3616 5259 3109 2937
"200712_s_at" 20705 4555 17377 20516 19180 5313 19285 18748 19255 16339 20096 17405
"200713_s_at" 16845 18957 6785 20017 15972 9298 18671 17374 15216 15072 16961 17756
"200714_x_at" 15204 4723 16969 18301 5312 5291 5426 5546 6326 7886 3519 3706
"200715_x_at" 17984 19135 7277 16611 15792 15831 17594 16894 15165 13943 17388 17794
"200716_x_at" 16074 4710 7152 3738 5033 11155 11861 8163 12931 9785 15163 6466
"200717_x_at" 9362 16650 16603 4615 14552 11056 11780 10788 8950 9697 16304 15632
"200718_s_at" 4008 4363 4489 5154 4542 5366 7871 4205 5820 4940 4499 5128
"200719_at" 2612 1976 2990 4458 2115 2940 3976 3539 2539 3127 2458 1466
"200720_s_at" 5980 4888 4660 18722 15490 7821 9012 7172 6511 14463 16456 15705
"200721_s_at" 16874 17752 18372 19339 18276 7829 9770 15877 17201 16289 15555 5155
"200722_s_at" 21486 20431 17289 19312 21451 16195 18860 21131 21609 20966 22166 21340
"200723_s_at" 20034 20295 19573 20026 20203 18908 19450 20599 19894 18043 21101 20432
"200724_at" 2888 11802 9078 17378 8614 16066 5506 3080 907 4708 3599 3523
"200725_x_at" 4907 16493 7211 15140 14586 15442 15487 15253 6472 15515 15699 15066
"200726_at" 17255 5107 6376 3034 15332 6782 8681 15555 14252 14192 15712 16792
"200727_s_at" 16764 4935 19724 15011 16420 18712 5645 6928 6088 18689 17810 5631
"200728_at" 18916 17890 19793 16474 16159 17570 9305 6221 6861 17898 5806 15016
"200729_s_at" 15206 18595 20205 15982 16031 17925 5363 7413 13667 18771 16981 16181
"200730_s_at" 20971 20753 19776 13959 20702 19738 7940 20780 19873 17322 19771 20215
"200731_s_at" 21349 21778 19694 13362 21732 20562 7285 20329 18566 17965 20849 20649
"200732_s_at" 19077 20646 16692 18837 20279 15245 7292 20270 19020 15186 20000 19283
"200733_s_at" 20898 21008 20269 5111 21510 17246 6832 18009 19567 17780 20242 21486
"200734_s_at" 6061 16782 4811 4551 3976 7281 8296 7917 6533 13505 2042 4974
"200735_x_at" 9607 5682 16639 14801 16064 11113 15911 17347 13535 9745 16581 16455
"200736_s_at" 6363 11141 19016 16456 9696 18344 15520 9737 11423 19418 8690 9167
"200737_at" 15594 5596 17639 15001 15132 7708 7275 5288 13204 16054 17462 14950
"200738_s_at" 4691 5668 16854 4882 14915 8311 9204 7903 6810 14419 6416 6485
"200739_s_at" 20565 18261 21318 16247 17398 19013 16468 18466 19067 20465 20347 20044
"200740_s_at" 18401 19187 21362 17210 18705 20938 16279 18021 18079 20890 18637 18887
"200741_s_at" 9486 5183 16791 5004 4783 10984 11694 10620 8837 9614 16116 15679
"200742_s_at" 5876 1347 4288 16413 4887 6820 5239 16471 15903 5628 3416 4139
"200743_s_at" 2988 4304 7330 15267 15661 6322 7422 16641 13178 6883 15811 3943
"200744_s_at" 16571 17547 18354 16028 16424 17199 15446 15130 16083 17146 17860 16182
"200745_s_at" 15950 17608 17470 14487 15142 17817 9123 16076 16187 18046 5902 17844
"200746_s_at" 16655 18637 18801 15746 17361 16674 15561 7017 17457 17975 16635 15468
"200747_s_at" 16314 17395 21422 19306 18620 7317 18549 18787 15833 6037 17314 21656
"200748_s_at" 15149 4103 3064 3059 15324 3262 11878 7565 13133 14689 16474 15519
"200749_at" 21318 21275 20939 20049 20944 20745 19819 20782 20931 20659 20640 21118
"200750_s_at" 18081 19010 20051 16125 18182 19659 17577 18877 18430 19804 19058 18448
"200751_s_at" 15938 3990 6574 15276 14766 5901 8744 5868 5900 7549 17617 5918
"200752_s_at" 5589 5103 20022 15998 19343 7574 15629 15910 16316 19772 3435 21364
"200753_x_at" 16870 5111 17670 17366 18066 18356 16972 17445 14819 19872 19023 18213
"200754_x_at" 16394 19217 18758 14475 17146 18424 16453 17827 16673 18048 16127 17946
"200755_s_at" 4708 2060 1138 3640 2476 1405 3718 2133 2427 1024 2926 2082
"200756_x_at" 1634 2050 1463 4092 1125 603 4410 2870 1635 668 18581 1734
"200757_s_at" 2463 2669 1828 3434 1555 1606 4864 3199 3068 983 2439 3113
"200758_s_at" 4159 3800 6392 18848 16111 17463 19778 7791 6698 19222 3710 4410
"200759_x_at" 4308 2911 19041 17462 4425 16020 18787 15799 6248 17737 3865 5551
"200760_s_at" 18989 4767 16313 545 15990 5234 16926 15909 15368 14972 16972 16896
"200761_s_at" 15628 5569 4901 1077 5620 4555 7788 7482 17444 15418 16316 18066
"200762_at" 1170 1028 6302 3050 1709 3097 5844 2827 2758 15377 1687 2081
"200763_s_at" 9745 4207 6272 4941 5705 11125 11835 7892 7027 9759 6579 6150
"200764_s_at" 3816 1965 1170 11786 15863 757 17637 16533 5607 1095 18327 16823
"200765_x_at" 16835 3920 1451 5954 4633 116 10948 6217 5490 940 4711 15010
"200766_at" 17277 18561 4531 16365 18521 16913 7674 20372 18406 13720 18006 16860
"200767_s_at" 19021 19867 21074 15871 19829 20306 16503 19426 18777 20445 18658 19554
"200768_s_at" 16929 19944 16777 443 18165 15623 3838 17009 16522 19106 16360 18076
"200769_s_at" 5516 17977 18096 1532 4107 16377 2537 16059 14013 16922 18819 20411
"200770_s_at" 17100 17635 19306 14245 4837 15704 16514 19237 15829 17214 6355 19879
"200771_at" 2715 18735 6658 2934 16719 7642 8411 8006 16553 2724 2838 5058
