"inst_1599" "inst_1957" "inst_2041" "inst_3214" "inst_5000" "inst_5419" "inst_6318" "inst_6654"
"200670_at" 19782 16045 7994 15213 17832 5815 975 16554
"200671_s_at" 12428 8788 13248 2313 21323 20954 19312 21618
"200672_x_at" 14237 4427 13024 5915 20552 17531 19028 13626
"200673_at" 3300 21090 7494 4885 13601 2794 4213 15813
"200674_s_at" 18876 2424 6428 13679 1586 15020 7204 3716
"200675_at" 4130 17499 2882 3890 13468 2997 5838 13135
"200676_s_at" 18487 17165 5458 2505 13736 14676 6588 20451
"200677_at" 3841 4434 20061 15543 15016 15336 16218 13926
"200678_x_at" 20960 17575 5790 6294 11041 5459 6004 15529
"200679_x_at" 18573 1953 5671 15997 13914 3903 8360 18074
"200680_x_at" 7647 16506 7767 6288 3087 7066 7505 4788
"200681_at" 7153 15564 6219 15323 10967 7463 7576 11386
"200682_s_at" 7758 1901 6891 17549 15451 16404 8387 17774
"200683_s_at" 21443 2428 19993 18572 15095 17943 18142 19211
"200684_s_at" 2011 19352 4743 18530 18812 18209 17822 19814
"200685_at" 21237 19608 6532 15932 17196 21862 21114 20936
"200686_s_at" 21941 21879 3182 18446 21281 14371 19864 19414
"200687_s_at" 20103 15561 5420 14519 15959 15870 17797 15847
"200688_at" 20629 16902 22075 3389 17068 19667 20069 20726
"200689_x_at" 6201 1710 7426 5919 10557 7781 6999 5354
"200690_at" 22131 21172 5469 16984 15775 21383 15877 15320
"200691_s_at" 4956 2938 1257 15456 13488 7712 8049 13697
"200692_s_at" 18382 4074 8120 16607 18451 5705 15578 20022
"200693_at" 2614 16908 4502 14475 14292 4193 7474 14624
"200694_s_at" 4014 5081 5743 17567 16982 17434 18088 15947
"200695_at" 2888 939 7311 19901 18504 17703 7575 13945
"200696_s_at" 7303 17108 6210 2361 10833 3526 4884 4667
"200697_at" 819 18413 6961 13194 11476 16039 7661 14791
"200698_at" 5672 19180 7697 17777 18317 18553 17449 14862
"200699_at" 21399 16071 19903 13058 14808 16983 16045 14148
"200700_s_at" 7245 16073 7518 19048 13981 6297 7630 15358
"200701_at" 19857 3193 6809 13163 13233 5575 3745 12293
"200702_s_at" 18940 17365 3884 15767 14941 19288 17917 18132
"200703_at" 21123 21692 7499 18169 19227 15792 16264 12709
"200704_at" 19909 2324 5969 2920 2400 2667 16017 3895
"200705_s_at" 6682 16989 5921 6092 2933 16193 7095 4004
"200706_s_at" 5594 4955 1224 4355 14896 3545 21501 2635
"200707_at" 19031 1422 1001 3203 21171 14386 3028 13797
"200708_at" 6175 20035 6462 13768 11540 4659 4934 13473
"200709_at" 2617 17781 1691 6604 15187 4136 5694 13384
"200710_at" 4960 15637 4572 3480 11760 5939 2678 5537
"200711_s_at" 21234 2902 7365 18642 11594 17220 17834 16363
"200712_s_at" 7368 19046 7252 21576 19826 17505 17424 21280
"200713_s_at" 19107 3795 7330 19067 17417 19413 15949 14245
"200714_x_at" 20177 16741 7583 4769 13496 14281 15870 5346
"200715_x_at" 7194 2024 4783 13380 1819 6748 6715 11527
"200716_x_at" 19165 2838 19399 8655 10640 9927 7362 15924
"200717_x_at" 19589 20945 7368 8567 5648 9840 10771 7081
"200718_s_at" 2666 4054 3910 6590 2553 5836 8043 11007
"200719_at" 3460 18026 8105 3749 13393 18588 8009 16461
"200720_s_at" 1109 813 7763 17165 16839 4413 2899 14923
"200721_s_at" 19174 3675 19870 4425 17583 19272 5871 13114
"200722_s_at" 7386 4394 5756 20649 14730 19127 20625 19189
"200723_s_at" 7708 2862 19133 17579 17244 18701 18149 18409
"200724_at" 14221 15469 13923 646 21203 934 17827 11395
"200725_x_at" 18649 2281 6130 6104 10771 7411 17439 4816
"200726_at" 7042 21101 2020 13784 16342 17962 16062 14664
"200727_s_at" 21738 18386 4346 18153 3157 7479 20614 3898
"200728_at" 20347 2120 19504 13960 15224 4704 16463 17185
"200729_s_at" 18796 22029 2658 15541 17570 2683 16082 13361
"200730_s_at" 100 18112 20644 19743 21488 15430 7177 22122
"200731_s_at" 21740 17301 535 15155 19971 15057 19663 14092
"200732_s_at" 2957 17221 7839 6400 13917 14277 7822 4289
"200733_s_at" 20095 22161 521 18769 22017 4096 20846 21517
"200734_s_at" 3207 15921 5518 5288 2640 17265 15713 16150
"200735_x_at" 20182 16258 6577 8620 10853 9890 7830 12390
"200736_s_at" 1820 1859 3084 7268 6893 13081 4332 13325
"200737_at" 19712 3565 2650 14073 15658 3718 6948 16799
"200738_s_at" 5517 21276 4170 13223 11546 4931 6755 11148
"200739_s_at" 4863 1770 6214 16248 12279 14450 3276 19687
"200740_s_at" 6028 17844 7737 6119 11133 5485 5479 4748
"200741_s_at" 6525 20667 8084 8489 5512 9763 10658 7004
"200742_s_at" 2158 4753 2107 2786 13619 1565 5815 20089
"200743_s_at" 6475 17063 4058 2358 12714 5236 7405 4945
"200744_s_at" 7131 3292 18903 19711 13623 5928 4802 18874
"200745_s_at" 18437 4988 20155 13602 20967 16565 7197 17418
"200746_s_at" 20761 19008 19925 3303 16414 4239 16319 5376
"200747_s_at" 4398 17794 2780 14403 20927 20235 19755 3677
"200748_s_at" 20799 2145 4082 6316 11305 7385 15845 11197
"200749_at" 3635 20993 4284 16410 20328 18682 20198 16152
"200750_s_at" 20187 15623 19736 15093 11155 14871 17529 12889
"200751_s_at" 18938 4791 3474 19610 18840 3606 18941 21029
"200752_s_at" 20845 3025 19935 16889 613 16573 20814 15484
"200753_x_at" 4033 3676 3662 20863 18518 17773 8267 18872
"200754_x_at" 6677 714 8388 17361 13648 18387 6900 3693
"200755_s_at" 19262 5181 1233 16452 15377 16203 3390 14133
"200756_x_at" 1016 2478 20956 21355 13614 3147 2266 19890
"200757_s_at" 6065 15976 5431 5338 13899 18126 5491 12486
"200758_s_at" 20444 4235 6335 3669 15698 17088 16107 16105
"200759_x_at" 19750 2226 6497 19306 13631 6215 6114 11751
"200760_s_at" 5669 2784 6818 14281 13298 6809 6562 14847
"200761_s_at" 1038 21673 4614 13639 14392 6474 18448 15986
"200762_at" 20154 18523 2955 15946 14160 15154 8336 4308
"200763_s_at" 7018 15725 8136 5774 10728 9898 17175 4545
"200764_s_at" 12021 7134 10280 13791 18731 7536 9256 8534
"200765_x_at" 10030 5517 17432 4725 12412 6829 13122 6968
"200766_at" 4131 2235 18686 14346 19700 3525 500 3570
"200767_s_at" 254 15987 20243 3500 17772 16266 2684 17081
"200768_s_at" 20236 18966 20618 21374 21937 21928 20802 16083
"200769_s_at" 20872 16626 21332 19567 21196 20665 1467 21354
"200770_s_at" 2781 15549 1864 13102 1714 7257 1893 14611
"200771_at" 1223 17254 1206 3030 11678 5724 19202 14988
"200772_x_at" 7510 1883 8198 5711 15588 7543 7066 14483
"200773_x_at" 3753 21215 4344 13866 10677 6480 6647 12012
"200774_at" 5699 18018 2542 5285 12265 7370 7180 15494
"200775_s_at" 19923 5222 2547 6053 11333 5046 4244 15056
"200776_s_at" 7402 20228 1174 20461 16651 3251 6475 17759
"200777_s_at" 19948 18135 4916 14365 15302 5275 17560 15988
"200778_s_at" 7734 19047 7376 16365 3200 7165 15748 17908
"200779_at" 20935 1109 6732 15120 1975 2326 15859 12856
"200780_x_at" 6319 2349 6594 5754 1953 14970 15883 3975
"200781_s_at" 19298 17518 19392 8551 2441 14470 7911 4594
"200782_at" 19001 17178 3761 4373 11910 2285 15948 11111
"200783_s_at" 20643 799 3911 20395 15427 7512 17923 13602
"200784_s_at" 10622 10978 9299 8976 6696 8691 11022 1473
"200785_s_at" 8792 7842 10735 3291 3937 11109 528 1412
"200786_at" 4219 2599 7204 14886 12214 15798 8328 14556
"200787_s_at" 19293 15790 18943 19183 10555 7174 20110 21661
"200788_s_at" 5269 16427 2131 19069 19535 15469 17500 12880
"200789_at" 5948 1835 5796 14068 12471 2762 4279 20710
"200790_at" 1298 2393 6087 20441 15414 19785 5343 4547
"200791_s_at" 20613 17037 8016 3233 10814 16518 15938 18256
"200792_at" 5038 2188 6052 6650 12133 7187 6239 11103
"200793_s_at" 21390 1965 3575 5575 14983 3317 3640 3876
"200794_x_at" 2693 4804 7466 13450 15946 6128 6090 16714
"200795_at" 3368 7956 7221 1626 5831 1716 19398 6485
"200796_s_at" 20186 15336 20306 20418 18165 6236 1997 21710
"200797_s_at" 20955 19674 19415 13696 17096 4433 18603 14103
"200798_x_at" 20320 21540 8194 20192 20266 5023 3961 20781
