"inst_593" "inst_611" "inst_864" "inst_972" "inst_1008" "inst_1066" "inst_1169" "inst_1228" "inst_1653" "inst_2688" "inst_4452" "inst_5225" "inst_5588" "inst_6187" "inst_6946"
"200082_s_at" 18089 4614 19323 17627 3996 17465 14883 7204 13302 11421 15212 14920 5750 14270 12193
"200083_at" 5879 16659 6061 15837 20042 19043 17598 16172 16584 15491 7990 5728 16265 8343 20702
"200084_at" 6315 5668 7399 15699 13604 18439 16461 4108 15860 7815 15192 6114 14287 8880 15694
"200085_s_at" 20328 14112 6868 5833 15962 2036 15418 5662 13798 17028 17121 16243 14841 11432 12983
"200086_s_at" 5140 4894 8112 5388 14974 16435 16647 5065 13800 7089 17155 6901 6094 7721 14855
"200087_s_at" 5830 2753 6626 3161 3180 1458 15667 2663 13342 5302 3049 2941 3862 2525 2986
"200088_x_at" 8269 4710 12177 17562 6961 3853 3085 16204 3919 11318 11317 6799 8414 14151 2565
"200089_s_at" 6498 4089 8215 5838 3707 3920 4307 6095 14543 11455 15543 6779 13639 14304 12788
"200090_at" 7407 18503 19460 21502 18477 21931 15495 16344 20362 8899 18935 20694 18135 7228 21282
"200091_s_at" 19204 3916 8882 5581 13115 19239 17625 6470 18100 5903 9350 4761 6000 14193 13575
"200092_s_at" 19449 3936 18734 17842 14321 2101 2477 6530 4103 11436 16888 6666 13082 14285 14081
"200093_s_at" 16690 14935 4280 4015 13231 4099 17630 4264 15258 6388 8118 6198 13122 7676 14522
"200094_s_at" 6603 4411 18667 17608 2132 4185 15083 15647 14100 8837 8778 16069 13200 9920 14880
"200095_x_at" 17892 13670 12603 5379 7432 4174 14011 7451 2892 11481 11489 6789 8662 14333 2151
"200096_s_at" 17197 14790 6003 16495 18893 776 18918 6534 14425 6669 6301 18261 5378 10494 19266
"200097_s_at" 4278 14016 18990 4936 2730 19326 16857 3927 16354 6709 6544 6778 12730 8844 16269
"200098_s_at" 4571 15555 8637 17407 18394 16836 19288 7298 18233 18906 17829 19335 18394 18720 19648
"200099_s_at" 9430 4408 12846 17479 7055 15860 13594 6732 13657 11437 11448 10207 8598 14287 13213
"200593_s_at" 8236 19934 6300 17684 18298 18346 19927 20218 18723 21372 18479 19165 17245 19336 20128
"200594_x_at" 8392 15906 19390 4294 16058 17419 15932 17305 17313 18611 9228 15300 18013 11429 18694
"200595_s_at" 17932 4170 5110 4930 15487 18829 21346 16866 18505 17272 6727 6209 16320 12027 16462
"200596_s_at" 17518 19103 8081 4968 13650 17559 21113 16319 17233 19434 8163 6264 13287 21020 16564
"200597_at" 1692 13802 3957 1023 13965 1589 21142 890 839 20545 2000 6142 2673 19158 1456
"200598_s_at" 21 78 83 125 45 33 1683 156 553 540 119 83 60 248 28
"200599_s_at" 101 48 1005 274 296 265 1570 139 1029 587 163 172 206 398 89
"200600_at" 10175 8880 11226 8603 7838 14103 15017 15242 5850 7717 3364 14559 12630 5646 1778
"200601_at" 21684 18373 20148 17312 19122 20150 20026 1901 19884 7876 7630 16597 14075 4185 18163
"200602_at" 4572 1296 2712 4676 3626 18768 13818 3723 3748 3608 7155 4149 2148 912 21179
