"inst_5925" "inst_5930" "inst_5972" "inst_5977" "inst_6893" "inst_6898" "inst_7083" "inst_7088" "inst_7506" "inst_7523" "inst_7528"
"200698_at" 19362 4582 4818 16804 11301 2708 20797 4602 14124 16063 15982
"200699_at" 17020 7595 6901 6449 11240 2227 4473 5262 14606 14416 15126
"200700_s_at" 16087 16809 8656 18235 11359 5637 16610 8621 16303 14988 17705
"200701_at" 17549 15478 3949 17617 14858 8879 14855 18877 5473 18724 17448
"200702_s_at" 2615 5805 8983 2982 12857 5061 2541 4476 3753 14186 4166
"200703_at" 15311 8329 9274 18428 10730 5735 3845 6308 4969 13557 5395
"200704_at" 7545 8347 9054 19801 12253 7113 14051 20649 6758 6369 19595
"200705_s_at" 7646 3728 18774 4853 3996 9040 3428 2238 5312 14410 4985
"200706_s_at" 2873 16405 2171 20042 11814 20948 18999 21908 18881 15576 4271
"200707_at" 4762 4234 18270 6276 19196 9318 20554 6282 3221 14675 6833
"200708_at" 8484 16784 9015 7100 15065 9760 17836 6521 17025 5880 5210
"200709_at" 15534 8548 1469 19392 12648 4118 17187 8118 4870 4301 15647
"200710_at" 4114 2607 11108 6970 12346 5794 3046 1545 5981 14034 5804
"200711_s_at" 15199 6169 9762 17196 2488 5624 3142 4206 4167 6514 16794
"200712_s_at" 8112 20304 1619 18639 12727 7333 21099 7102 18951 3662 17146
"200713_s_at" 5917 6980 2859 17058 10722 7823 14744 7282 5478 16845 15060
"200714_x_at" 14457 17553 5736 16464 18246 9190 3609 1925 17546 13594 17733
"200715_x_at" 15853 4458 8471 8081 11986 8807 3484 8131 14711 16435 14156
"200716_x_at" 12037 6923 15068 11671 12295 18327 14329 7698 6827 13690 14641
"200717_x_at" 11748 11742 14765 11428 3509 18229 14786 18108 5488 6113 5582
"200718_s_at" 15062 15223 8346 18910 4262 7528 3380 18155 5550 6185 6014
"200719_at" 5540 15238 6534 17989 12800 9628 3768 3328 6185 2389 6398
"200720_s_at" 7171 3387 6940 7946 18184 6462 14294 19781 16687 4893 17783
"200721_s_at" 7940 17194 7745 15734 16735 3822 17232 17695 16249 4639 5366
"200722_s_at" 7789 19501 2288 19540 14181 9664 21644 7127 14895 1463 20889
"200723_s_at" 14881 8563 5850 5495 4051 8395 21242 3819 14996 16809 19254
"200724_at" 21414 4436 20551 110 223 21602 12344 9581 811 17094 15791
"200725_x_at" 7065 15468 18283 8771 13021 18900 14141 19105 14770 5850 6808
"200726_at" 17766 4749 6666 8801 2386 8845 15861 4994 14673 4541 4380
"200727_s_at" 6585 19904 8437 18570 1912 1758 21565 21691 15905 19787 19993
"200728_at" 15000 16922 5087 6642 4106 3856 16479 19078 4267 14877 16430
"200729_s_at" 8184 18291 3685 18380 13121 2645 18341 6493 17258 17741 19395
"200730_s_at" 17317 4967 1603 20963 1769 9093 21623 17572 14359 5448 20877
"200731_s_at" 20553 3874 2699 16602 2077 6278 19925 4050 13872 6560 3411
"200732_s_at" 16312 8090 6320 15016 11678 6960 16052 6831 14628 4634 4628
"200733_s_at" 8231 890 11784 14646 13531 2695 4392 103 2746 1680 3284
"200734_s_at" 4948 5261 17736 4786 19403 9693 15928 711 13865 3347 14294
"200735_x_at" 11915 7466 14932 11556 3220 17769 14488 8344 5238 5809 14587
"200736_s_at" 11003 7312 7784 16521 16089 17055 7606 17773 9304 18512 3125
"200737_at" 7354 8286 3420 16918 4599 1567 17365 6206 16046 6935 17498
"200738_s_at" 16023 14925 10023 7831 4270 7743 14385 7846 6539 6321 4177
"200739_s_at" 6700 16308 7880 15595 14988 17861 17318 20027 14272 16505 15524
"200740_s_at" 8841 16175 8409 16735 5035 8768 15200 6340 15067 16113 16747
"200741_s_at" 11536 11454 14536 11253 3324 18022 4123 18636 5696 14055 3336
"200742_s_at" 1998 20009 5397 18778 18082 4918 21077 8259 587 19553 5308
"200743_s_at" 19471 16899 10044 4470 18792 18870 19261 17577 14054 4335 17847
"200744_s_at" 5739 15625 8347 6214 18718 19434 16724 8316 15823 14200 17185
"200745_s_at" 7253 18648 4421 16452 13366 7551 20943 19959 4788 14359 18815
"200746_s_at" 5631 7195 5601 19537 11872 6419 4019 3967 4601 5770 15116
"200747_s_at" 14482 19533 5832 18753 15155 18276 2473 6933 5114 15893 18363
"200748_s_at" 5307 8139 19830 8098 4765 4181 2980 8625 3223 2507 6031
"200749_at" 17690 2742 4665 6470 4640 4378 2686 1963 16436 5961 14448
"200750_s_at" 16787 6466 17901 11382 3747 17923 14817 17794 15149 6497 4597
"200751_s_at" 4842 8063 6936 16877 2784 3325 21740 18341 6262 4606 6423
"200752_s_at" 5045 6021 19654 18488 19694 3864 21967 961 19083 16950 17256
"200753_x_at" 16936 2525 6165 5497 3602 5480 19223 3126 16553 18491 6466
"200754_x_at" 8045 4305 6736 3610 1856 6351 3348 6975 14228 5490 14672
"200755_s_at" 3940 18823 2718 7745 7507 3538 14269 6121 17667 17802 6576
"200756_x_at" 20402 16296 1017 14821 2010 19906 22278 21284 21310 16821 22127
"200757_s_at" 17282 17343 1686 17403 11880 8533 16006 6991 3592 5447 19294
"200758_s_at" 5860 5858 10130 15480 17939 6603 18910 19985 16881 4889 5860
"200759_x_at" 5358 5982 2360 18838 12724 19899 1305 7138 3751 14372 19476
"200760_s_at" 4111 5128 3842 7071 10792 4696 21100 7627 6818 17864 6083
"200761_s_at" 15236 1499 8431 7172 12676 4264 16751 4865 16282 5286 4961
"200762_at" 4644 7920 9520 8820 13901 6919 2790 5562 3301 18042 3457
"200763_s_at" 11949 15689 14972 11586 11223 18718 14362 19842 15518 14996 5998
"200764_s_at" 3422 18584 19018 9157 9480 9688 20151 17557 4235 5875 11345
"200765_x_at" 16375 10598 7850 13375 6889 5218 3592 21438 16274 17167 13744
"200766_at" 1932 18713 3945 7075 20630 8463 20583 6576 4351 19555 16089
"200767_s_at" 1793 5632 2517 5189 19309 8825 20473 19528 17794 17116 5836
"200768_s_at" 4558 2077 19084 4479 3157 1126 2798 1603 6779 4390 708
"200769_s_at" 4041 17427 2504 18586 17009 20484 21396 20693 22194 21307 20386
"200770_s_at" 5573 4553 8925 19384 17124 5191 16279 2937 5549 20442 3055
"200771_at" 17114 5177 3492 16971 4567 2298 15062 4126 4999 14717 15847
"200772_x_at" 11817 6724 18213 11492 3853 9487 3286 18384 3552 3274 2516
"200773_x_at" 14800 6850 11161 15458 2933 5518 15224 7813 6720 6368 6903
"200774_at" 15241 5198 8294 7393 3806 6084 4199 4396 6498 13795 6907
"200775_s_at" 14580 4056 11176 8839 17114 20001 2334 21711 15018 15019 21412
"200776_s_at" 17455 15183 6551 17401 4279 8882 19791 18791 6159 3379 19269
"200777_s_at" 16118 15847 8229 7604 1692 3000 3863 7977 5427 13628 18218
"200778_s_at" 8667 15843 9766 14359 15602 8865 17969 8594 14560 6124 19364
"200779_at" 5350 1605 10389 4000 3526 6967 3485 6543 4985 5386 3077
"200780_x_at" 11894 15176 14914 7251 5072 9070 3614 17571 5365 5613 17824
"200781_s_at" 11708 15444 14714 15655 4164 9442 4227 19246 6003 5892 14241
"200782_at" 16907 15938 2985 17802 11139 1244 18537 3703 14935 14831 16879
"200783_s_at" 19822 18232 7700 14945 14051 6294 2458 19462 14444 14575 17834
"200784_s_at" 13512 21264 15474 12918 5671 12722 7629 5628 9319 8160 22169
"200785_s_at" 987 18614 16049 19335 20919 14960 6456 20365 13343 10941 21101
"200786_at" 8440 8250 11143 6859 15273 19934 16893 8586 6341 13754 17491
"200787_s_at" 21430 1777 10118 3320 19510 9858 21166 19224 20267 18224 14278
"200788_s_at" 20091 7974 8596 14942 11452 2400 4175 3241 15199 1958 2262
"200789_at" 2159 1664 469 5135 18543 9555 15094 20996 18810 3730 2394
"200790_at" 8352 15075 6536 16562 4278 8821 14377 8525 18305 15940 14527
"200791_s_at" 16680 8011 10169 17061 14417 3099 18535 18688 6184 14999 15266
"200792_at" 8563 7008 9296 7143 13581 9053 4450 18908 4984 5720 6427
"200793_s_at" 3427 17557 6829 5105 17340 9872 14170 20173 19527 13806 4530
"200794_x_at" 18236 16862 5073 19154 15034 5014 18196 21075 5177 13820 20316
"200795_at" 2960 8472 19687 11650 544 10309 419 11127 20083 22025 11569
"200796_s_at" 22196 13428 21104 14746 425 20742 13158 15717 8103 15545 2373
"200797_s_at" 14714 15898 2881 18368 16448 8259 2045 20928 15783 4654 18160
"200798_x_at" 5814 15965 1231 16080 2251 3103 20355 7089 17851 19090 15500
"200799_at" 15067 4647 5607 7387 10980 7467 4370 2698 14818 13667 2929
"200800_s_at" 5699 2331 11614 2544 4719 1584 1652 1756 16800 15231 1535
"200801_x_at" 11463 11361 14464 11182 5064 18598 4569 18815 14433 6052 16122
"200802_at" 6874 5407 11075 8885 15383 9089 17893 8167 4778 16683 6743
"200803_s_at" 6159 17283 7447 16681 16137 18063 17485 20588 13957 6391 19529
"200804_at" 5879 7152 9666 8812 16642 18447 18058 8534 13960 14677 14512
"200805_at" 2828 8087 9263 8153 17555 19482 15247 7381 6415 16060 14345
