"inst_6559" "inst_6585" "inst_6589" "inst_7044" "inst_7048" "inst_7101" "inst_7106"
"200895_s_at" 14793 4025 14905 4413 17955 20727 5584
"200896_x_at" 3305 13229 15857 8801 15283 15878 4623
"200897_s_at" 18830 16785 20985 19345 4080 17933 16543
"200898_s_at" 19303 21195 6999 8096 18482 18552 21473
"200899_s_at" 20648 18604 19552 19620 3594 18863 19692
"200900_s_at" 807 20069 18762 4762 13958 2913 16832
"200901_s_at" 18128 16037 6001 7211 14068 5919 3958
"200902_at" 18196 19237 5222 3080 18793 3799 21072
"200903_s_at" 6052 14704 19923 18061 15396 21262 3935
"200904_at" 5348 14717 3417 7256 4374 21768 5129
"200905_x_at" 13875 12770 6330 17611 12905 3923 14729
"200906_s_at" 14240 20830 20720 9181 2466 1767 2095
"200907_s_at" 3152 3865 19512 18808 16114 19626 20413
"200908_s_at" 1536 112 1401 19066 21026 2388 18915
"200909_s_at" 5634 4537 6007 7443 4660 3692 14692
"200910_at" 3375 15810 15877 4884 13376 16090 16198
"200911_s_at" 18979 20251 20879 20438 14334 20692 16230
"200912_s_at" 16218 19066 16513 1637 15836 818 19643
"200913_at" 2269 3778 2120 19134 1551 1313 21329
"200914_x_at" 14799 15495 2884 6438 16467 1674 17962
"200915_x_at" 17389 14015 5059 7585 15032 4570 18679
"200916_at" 4916 4881 16013 6651 13070 3604 6056
"200917_s_at" 19741 22278 6920 7469 18108 14168 14722
"200918_s_at" 14597 18386 18090 19301 16565 20332 5352
"200919_at" 364 14876 16051 515 15279 1809 21858
"200920_s_at" 18069 15104 21010 21640 18537 21434 18062
"200921_s_at" 17309 18956 21645 21205 18594 21797 20711
"200922_at" 17922 17730 20147 6186 20387 21850 3192
"200923_at" 15386 3109 5249 2597 15938 20408 17070
"200924_s_at" 21019 4081 1220 2481 1133 2208 3909
"200925_at" 4267 3105 6398 16852 5387 16474 17103
"200926_at" 10260 9270 11494 18221 2633 5878 5148
"200927_s_at" 21368 17038 19172 7323 19638 19103 18964
"200928_s_at" 8320 2347 16282 18421 12253 6161 7816
"200929_at" 3049 14599 19224 2147 13446 3621 20491
"200930_s_at" 2485 4064 10505 9631 17280 8294 14063
"200931_s_at" 17424 16220 4178 4685 13727 16612 19010
"200932_s_at" 3372 1737 6202 18304 4974 16760 17433
"200933_x_at" 10095 9103 11323 8834 3496 2960 6437
"200934_at" 16983 18330 16202 8808 13005 4063 19644
"200935_at" 20957 22260 21054 6399 20215 22150 5901
"200936_at" 4492 14493 16434 8491 14729 4775 15827
"200937_s_at" 4357 13690 6765 5877 12987 3362 19197
