"inst_369" "inst_430" "inst_1013" "inst_1071" "inst_1174" "inst_1233" "inst_1658" "inst_2693" "inst_4457" "inst_5230" "inst_5593" "inst_6192" "inst_6950" "inst_6992"
"200665_s_at" 8803 16703 5683 14502 9998 15848 12254 15166 21427 15608 11278 5828 11768 9524
"200666_s_at" 3464 17516 11986 4347 19332 20379 19082 1591 16147 9346 4681 3312 10697 16204
"200667_at" 14540 20112 17120 4560 17557 2491 2003 17051 5816 8213 3185 3992 9948 2645
"200668_s_at" 16145 1930 13393 21374 5747 8500 13658 5850 13022 8822 13623 13237 4806 6369
"200669_s_at" 5128 2133 15057 8244 4935 5385 15394 7756 15631 3861 13447 13848 3370 16283
"200670_at" 1381 6540 2353 1356 19650 273 13977 4637 2856 4179 3182 18220 5872 6495
"200671_s_at" 9043 19079 1003 1608 14201 5397 12449 17421 17758 1571 21600 8893 19245 14806
"200672_x_at" 5680 831 2599 1826 1193 6152 20320 19481 21304 444 17977 2985 543 21822
"200673_at" 17879 7871 13100 6071 6949 7285 14323 3231 12455 2543 12242 17176 7635 4234
"200674_s_at" 4291 9775 5984 21414 18502 18458 2112 12554 8092 19709 5718 6029 20414 4828
"200675_at" 4680 4782 19849 7358 5679 5913 4136 6370 15273 2869 15885 18055 6731 5313
"200676_s_at" 13993 18034 22230 8623 3975 19567 21732 3348 5436 19536 20640 2402 21177 699
"200677_at" 14836 18164 14822 7947 4306 7902 4186 17484 17687 9159 12468 18959 5603 6965
"200678_x_at" 5451 20561 15781 6394 8259 19485 4401 18143 18356 19901 19923 12326 5057 4420
"200679_x_at" 16586 3479 1092 7278 18896 6806 16318 7477 6406 18144 13139 11848 7244 17328
"200680_x_at" 4819 17990 12978 7208 18669 18505 1303 10032 8134 19803 8151 10491 19479 6069
"200681_at" 16691 10596 14105 20244 7141 16839 3003 6598 5901 7108 13923 11256 8588 6908
"200682_s_at" 16250 9816 12433 20214 6387 17518 3326 4471 12514 5992 13982 12468 8124 6476
"200683_s_at" 17729 20219 21265 6486 7189 8487 15681 6996 19265 8572 12538 14475 2443 6017
"200684_s_at" 4761 19825 20736 21105 3153 7222 20430 3622 14789 7706 12790 18214 10243 18090
"200685_at" 20507 11707 16359 8638 18559 8760 1773 10260 2283 1600 4364 19689 20143 2937
"200686_s_at" 5246 2473 21006 5786 20460 6691 1266 2627 19924 1613 16818 18919 1645 3409
"200687_s_at" 19315 16837 18376 20642 4426 4207 19820 3988 15657 8914 16181 17159 9896 5812
"200688_at" 403 4479 1562 887 455 5000 21298 18004 17683 8284 18985 1481 9230 5173
"200689_x_at" 13430 7811 12907 21219 5088 7834 1551 12600 5752 6904 4112 11006 19704 15963
"200690_at" 17306 2293 17480 8799 6741 3312 19877 20473 13004 18371 14270 16942 10790 3153
"200691_s_at" 16433 6445 14520 3935 4865 6209 13649 8920 5929 8624 13256 15286 5809 5672
