"inst_315" "inst_984" "inst_1042" "inst_1145" "inst_1204" "inst_1629" "inst_2664" "inst_4428" "inst_5201" "inst_5564" "inst_6164" "inst_6924" "inst_6964"
"200068_s_at" 14808 5147 14575 18024 17225 4056 5691 16166 15876 10616 11058 1949 3277
"200069_at" 19800 2621 14452 4963 16205 18930 3368 4576 2160 21251 15617 16510 16763
"200070_at" 18400 17781 19416 5596 21836 19361 4489 6912 2206 19654 9942 4808 15158
"200071_at" 18882 16178 16171 2729 21505 884 3541 6474 2797 19861 18047 4632 2481
"200072_s_at" 13029 15122 16763 2818 13727 4676 4119 18585 6953 13531 16680 15822 17094
"200073_s_at" 14920 19407 21467 3301 19133 15621 2818 7898 4840 12937 13755 3568 13895
"200074_s_at" 12384 4982 2011 5751 12680 16194 7558 16733 5092 12434 10179 18617 17323
"200075_s_at" 12031 4195 21177 1891 2888 18414 15087 15019 19054 13709 13980 19505 17556
"200076_s_at" 11503 2819 15440 6896 2526 2336 7419 19181 6209 13946 14151 16517 2741
"200077_s_at" 11184 14086 1793 5532 13272 4793 5626 6440 5421 9901 9484 4588 13740
"200078_s_at" 5889 19854 16012 18406 16331 2920 15973 5890 3922 15191 14093 4584 14065
"200079_s_at" 3174 14041 16614 16248 13238 15187 17057 7098 7352 12759 18403 16914 13249
"200080_s_at" 13435 16540 2067 3907 14789 17377 5697 6215 1544 9392 9004 2037 3070
"200081_s_at" 12119 3333 18000 4344 2027 4176 5696 17132 16013 10784 10249 5183 13699
"200082_s_at" 12617 15232 638 16842 12771 15051 10681 15846 17646 2970 4269 15020 13608
"200083_at" 17573 19722 15586 17973 16626 1030 5322 7606 840 21404 10148 3585 1026
"200084_at" 16294 15589 18078 3921 15910 4355 7001 7193 2670 13149 14712 5330 14912
"200085_s_at" 3851 17134 20042 17961 3931 15760 16806 6147 6723 11158 13329 14942 15420
"200086_s_at" 10962 3404 20210 1763 3783 5608 3188 16358 7328 13792 14843 15095 3298
"200087_s_at" 16116 5103 15744 2983 16760 17721 2888 19290 3099 13098 19371 3073 14492
"200088_x_at" 3241 8323 2368 17411 3727 15062 10569 9973 16722 4704 4141 5203 3672
"200089_s_at" 11053 16944 17643 6235 13788 15973 10715 15890 16669 11043 4304 17825 15380
"200090_at" 19789 4450 18197 3359 19346 17623 18668 5997 2561 16276 16285 15452 16759
"200091_s_at" 17505 16605 2122 16888 12452 19167 4946 18607 15889 14490 4178 18980 18704
"200092_s_at" 5819 8597 14990 5160 14413 16352 10696 8118 6820 4879 4284 18348 15619
"200093_s_at" 11742 18101 17880 3093 15813 19379 6059 7278 5268 14520 18981 16346 15299
"200094_s_at" 14358 2653 15525 17968 3627 18192 5971 5951 20499 11277 9920 4454 14460
"200095_x_at" 13670 8582 15275 6392 3118 15306 10742 10135 6514 4936 4329 4264 2845
"200096_s_at" 20342 2648 19247 19171 13180 16307 3561 20443 17669 20706 20500 19618 18526
"200097_s_at" 10837 5276 766 3340 18313 15503 8606 18842 2185 11256 16100 3200 16087
"200098_s_at" 11609 19039 17218 3362 18052 3427 6973 6691 6430 16192 16305 16413 13598
"200099_s_at" 5381 8571 1825 18021 3449 16008 10698 14403 10258 4882 4286 18046 3020
"200593_s_at" 13657 16373 20255 3169 18504 5194 4693 18110 20809 13252 15292 18519 18483
"200594_x_at" 13403 16361 14677 5269 18557 15549 6760 7196 5291 12902 12885 2620 2747
"200595_s_at" 18106 19966 17612 5939 17498 16389 4901 19399 6369 20606 17754 16890 2188
"200596_s_at" 13559 20613 19184 20124 13801 15809 4881 18717 18494 13299 12715 20243 17037
"200597_at" 16755 15798 17004 6132 3710 15883 16912 16378 19994 20581 12606 20669 986
"200598_s_at" 16354 16561 2696 4271 13758 4652 4151 18183 17437 14885 18917 5318 17931
"200599_s_at" 15100 14960 15539 16557 16027 4563 15405 16136 6583 17789 16731 15824 17957
"200600_at" 7551 11302 4444 6540 12872 10624 3010 4125 8868 8484 13304 6274 1278
"200601_at" 16643 21161 20610 201 20901 2008 4047 5073 17263 13734 10869 15277 17141
"200602_at" 20878 14915 16519 4581 17996 2260 17786 19056 4677 17690 18787 18566 13156
"200603_at" 17886 18877 19470 2970 20087 16932 3748 14696 4498 17146 18064 14577 15512
"200604_s_at" 11904 18237 18745 2525 15068 1440 2380 19263 15474 12811 22009 17341 17112
"200605_s_at" 16141 18950 489 17078 12966 16908 2863 15936 17217 2891 16506 14164 18070
"200606_at" 16258 18273 2079 15669 3334 2552 18643 3810 1692 12173 10994 14202 4057
"200607_s_at" 21457 16465 15714 913 13390 3050 4706 7085 19041 12815 20505 20283 19296
"200608_s_at" 18014 16459 18121 17667 18379 15144 3138 7757 5502 12874 15199 14439 14351
"200609_s_at" 11781 15996 16597 5484 14570 4338 16749 7264 7160 18762 20435 16132 15136
"200610_s_at" 18555 20485 2983 1631 15717 3909 3523 5774 6487 9719 9554 4294 2839
"200611_s_at" 13767 14668 14757 2906 16140 3525 5507 6088 17017 16442 18348 18721 18309
"200612_s_at" 17116 15764 18924 21745 12563 18691 2131 14437 21904 20392 15764 4542 20974
"200613_at" 13332 5120 16289 3399 12305 4155 5925 8072 6500 13557 19282 15895 16719
"200614_at" 13679 17871 2788 18114 12865 15808 18220 16195 15861 15083 15971 15188 14641
"200615_s_at" 19129 4204 1837 17985 3243 5374 2253 5974 21071 11861 13637 19274 3604
"200616_s_at" 14578 2447 2999 3219 18847 15668 16266 6559 16507 14647 15164 4235 16193
"200617_at" 12751 3315 20065 19802 13924 19631 19306 16841 18321 18761 2345 16811 3547
"200618_at" 12100 15796 18290 21485 13231 17953 3081 13981 5376 15833 10307 3378 17565
"200619_at" 12485 5126 20522 19019 12022 19122 2141 5013 17052 13274 9678 16120 1105
"200620_at" 10690 16003 14973 5136 15370 3852 8584 16892 6904 14688 13797 16337 19501
"200621_at" 6040 18345 21249 5733 2166 4893 15487 16163 6281 15813 15368 15715 16294
"200622_x_at" 5640 18577 16117 20161 2404 5188 18773 19028 20261 12913 16819 17889 17209
"200623_s_at" 17010 14707 18598 21821 2944 18046 4845 19865 20093 21445 11132 18888 13378
"200624_s_at" 16428 21014 16910 2584 15248 1596 2394 15607 2878 15712 18889 18908 18632
"200625_s_at" 5411 18116 15897 16751 3313 3554 15839 16417 4608 14741 15290 4470 19625
"200626_s_at" 20460 19961 16971 4569 15299 2691 16560 18557 3788 19722 16258 1605 13523
"200627_at" 15375 16600 16278 5587 3076 18555 8416 18202 16842 11606 12528 14234 14856
"200628_s_at" 4668 21940 19799 5914 13593 2386 6860 21342 6873 16884 19794 21363 20532
"200629_at" 16579 3486 14647 21380 18871 1689 6417 14752 16725 16162 18330 14863 3538
"200630_x_at" 17643 14176 1206 2549 15642 15942 15345 16763 15955 9044 10371 3066 2500
"200631_s_at" 13545 16919 16636 16701 13770 4867 4727 6484 4602 12482 12345 5339 4111
"200632_s_at" 20186 22193 10815 6169 13016 4320 7215 5548 20630 20617 12595 22061 19705
"200633_at" 5542 5278 1295 4050 3929 5062 10635 10049 15305 9669 10481 3392 13148
"200634_at" 16094 14159 15396 17889 14701 16164 8451 14670 16670 11882 11714 14009 15767
"200635_s_at" 16414 19418 20586 15104 15336 2692 9392 3752 2003 20423 688 19525 1588
"200636_s_at" 17169 17804 20478 10605 17224 19733 9470 14916 3638 18767 3736 18317 19634
"200637_s_at" 3732 16959 19169 10038 16549 3430 9828 17070 2043 14610 4253 2945 2717
"200638_s_at" 12408 14332 2058 3152 12955 4523 3383 16724 17501 10351 17879 15978 15858
"200639_s_at" 11971 17629 14851 20717 15826 4193 3115 8570 19089 13886 14022 13990 3279
"200640_at" 5573 14774 17540 6640 12681 16139 5686 18317 16042 11752 14523 3830 14365
"200641_s_at" 15064 16587 17143 2013 12330 2947 5994 18225 15713 2611 17957 13909 18886
"200642_at" 5764 15102 15368 4866 12438 16100 7197 15199 18528 12598 14448 5151 14148
"200643_at" 4596 18226 14795 5147 18998 18441 17253 19096 17920 20982 8861 19805 15436
"200644_at" 15584 18242 2989 1733 14995 3175 2602 6527 17620 9927 11568 13910 15189
"200645_at" 5338 14280 1728 18743 16491 3605 18213 14638 4723 11812 15621 2658 4002
"200646_s_at" 13934 4947 18021 146 18750 20435 18812 20802 6542 12023 19084 4236 15625
"200647_x_at" 5087 14228 2143 4017 3628 1148 8680 4447 15922 10525 11186 17092 15624
"200648_s_at" 10812 20315 21586 18257 19057 21287 1815 20580 17033 12454 17515 18071 21906
"200649_at" 11399 14493 21261 20731 13793 21290 17940 14851 21643 10864 2467 19419 830
"200650_s_at" 5853 19430 1488 16709 12245 15129 10530 9927 5785 9393 4097 4865 14852
"200651_at" 12931 14420 15081 4063 12123 16185 10729 8063 7085 9713 4315 17028 15578
