"inst_2439" "inst_4662"
"201290_at" 17881 12021
"201291_s_at" 20520 18541
"201292_at" 21988 20520
"201293_x_at" 8468 6364
"201294_s_at" 15335 1989
"201295_s_at" 3466 7634
"201296_s_at" 16085 16589
"201297_s_at" 3716 10807
"201298_s_at" 4405 11112
"201299_s_at" 19448 21337
"201300_s_at" 3677 13918
"201301_s_at" 15715 17191
"201302_at" 18728 16337
"201303_at" 13298 1542
"201304_at" 18695 15949
"201305_x_at" 17755 17230
"201306_s_at" 16887 13441
"201307_at" 21286 17436
"201308_s_at" 13320 21848
"201309_x_at" 21451 21086
"201310_s_at" 21338 19190
"201311_s_at" 13445 16794
"201312_s_at" 15478 14080
"201313_at" 19122 15587
"201314_at" 17956 15064
"201315_x_at" 16001 4128
"201316_at" 19879 15450
"201317_s_at" 14281 11653
"201318_s_at" 4984 13581
"201319_at" 2516 20587
"201320_at" 20346 12433
"201321_s_at" 19648 19297
"201322_at" 14713 11192
"201323_at" 17496 14885
"201324_at" 161 18315
"201325_s_at" 571 19833
"201326_at" 13163 14512
"201327_s_at" 5479 12338
"201328_at" 1581 11779
"201329_s_at" 458 2535
"201330_at" 14920 19449
"201331_s_at" 13022 3408
"201332_s_at" 2658 982
"201333_s_at" 10930 15447
"201334_s_at" 5480 20041
"201335_s_at" 10756 21860
"201336_at" 18709 15233
"201337_s_at" 2471 19928
"201338_x_at" 19444 10832
"201339_s_at" 16335 14401
"201340_s_at" 1744 14568
"201341_at" 1652 13270
"201342_at" 15218 15015
"201343_at" 17542 16979
"201344_at" 22111 20550
"201345_s_at" 15353 11358
"201346_at" 5043 14335
"201347_x_at" 17953 3621
"201348_at" 8846 9132
"201349_at" 18065 13577
"201350_at" 20863 3401
"201351_s_at" 3425 15466
"201352_at" 17052 19255
"201353_s_at" 2378 10979
"201354_s_at" 16057 16485
"201355_s_at" 1534 8637
"201356_at" 14440 16265
"201357_s_at" 13816 1865
"201358_s_at" 13864 13593
"201359_at" 12999 16882
"201360_at" 16779 10922
"201361_at" 20895 11294
"201362_at" 20919 18406
"201363_s_at" 21626 16976
"201364_s_at" 2258 18041
"201365_at" 5378 19967
"201366_at" 16873 14862
"201367_s_at" 13388 21332
"201368_at" 17321 18635
"201369_s_at" 5389 2395
"201370_s_at" 20635 22195
"201371_s_at" 4500 20774
"201372_s_at" 19179 2291
"201373_at" 15651 15378
"201374_x_at" 6483 1388
"201375_s_at" 2182 14489
"201376_s_at" 19083 14892
"201377_at" 13548 13813
"201378_s_at" 18810 14856
"201379_s_at" 12974 15551
"201380_at" 19915 13667
"201381_x_at" 562 3950
"201382_at" 13259 3211
"201383_s_at" 2477 18943
"201384_s_at" 14677 18327
"201385_at" 15610 14803
"201386_s_at" 5964 17791
"201387_s_at" 3645 8274
"201388_at" 1784 10085
"201389_at" 3578 14121
"201390_s_at" 15261 4008
"201391_at" 20806 12601
"201392_s_at" 3945 21214
"201393_s_at" 13658 18926
