"inst_1138" "inst_2323" "inst_2362" "inst_3779" "inst_3860" "inst_3971" "inst_4336"
"200702_s_at" 2964 18432 17132 17740 3252 15691 8000
"200703_at" 20085 8295 16427 4773 6603 11931 5207
"200704_at" 2506 18034 14803 6448 20791 4677 19326
"200705_s_at" 8055 9352 3193 12321 18287 5134 6743
"200706_s_at" 3328 3215 3455 5262 6797 5476 8663
"200707_at" 20296 7074 13407 12452 11768 17218 20685
"200708_at" 6477 7250 18959 14063 11258 16895 16409
"200709_at" 6460 16422 14874 14905 19869 14304 4113
"200710_at" 4599 7068 19138 12942 7959 4265 19233
"200711_s_at" 6319 7904 13769 15648 20000 12320 8853
"200712_s_at" 6128 16602 20232 17909 1744 11561 15054
"200713_s_at" 7677 8512 19382 13195 19228 16548 2613
"200714_x_at" 2235 17283 13424 18059 20926 14405 18932
"200715_x_at" 5849 7616 2175 18011 19061 13211 5448
"200716_x_at" 7449 12368 2971 8068 14221 7533 8485
"200717_x_at" 20759 12236 6561 7977 14095 7407 10997
"200718_s_at" 5255 16284 13854 5488 11598 5760 5965
"200719_at" 7900 2899 15938 14339 18120 12215 7437
"200720_s_at" 5321 3353 20531 15792 7356 17201 16566
"200721_s_at" 2540 16832 2072 13637 10961 3695 4818
"200722_s_at" 1123 8942 17178 21387 2429 19068 17562
"200723_s_at" 1461 7336 13058 19024 5585 15201 17672
"200724_at" 19139 21818 11511 3653 10983 18558 19483
"200725_x_at" 7980 8356 3138 15248 18424 4935 7027
"200726_at" 21407 19450 19195 17477 6339 17916 16172
"200727_s_at" 3820 7920 3279 2161 903 21301 3109
"200728_at" 1134 17598 16209 14570 4436 5104 7473
"200729_s_at" 20474 7223 17722 16290 3280 15907 6362
"200730_s_at" 5110 8930 20997 16392 1921 19567 20949
"200731_s_at" 2083 19521 20817 13832 5273 12437 19816
"200732_s_at" 4316 17712 18955 4688 19734 12749 7020
"200733_s_at" 3183 5797 21130 3609 4638 10978 2819
"200734_s_at" 2150 5221 13039 16305 21258 14854 17985
"200735_x_at" 20549 12300 12431 8027 14168 7477 9306
"200736_s_at" 16477 14476 15014 16275 15876 8441 6880
"200737_at" 5827 18914 16381 17061 2894 16560 8983
"200738_s_at" 20046 16830 14084 13134 7817 4970 15980
"200739_s_at" 20128 6505 3120 16975 4722 11831 17264
"200740_s_at" 4908 9939 14926 5817 10465 13573 7758
"200741_s_at" 20412 12301 6571 7906 13987 7302 15668
"200742_s_at" 21995 5090 14545 19090 4025 13807 19084
"200743_s_at" 21754 4462 15969 13958 20151 16710 7675
"200744_s_at" 7326 6576 18906 17049 4233 15297 18818
"200745_s_at" 6198 9537 15559 17705 2242 5442 18390
"200746_s_at" 6018 16424 19150 13393 6507 12562 17914
"200747_s_at" 8145 9067 21774 4203 3395 4171 18508
"200748_s_at" 20390 18228 12248 5344 18903 14557 11128
"200749_at" 5392 16676 15189 15325 7772 19988 8164
"200750_s_at" 21563 17078 15503 7960 10902 4951 8402
"200751_s_at" 6770 9111 15901 18144 2494 15300 18415
"200752_s_at" 2861 18524 2909 11656 3468 4156 17585
"200753_x_at" 21242 8895 14215 17799 5608 11979 6762
"200754_x_at" 5370 5777 3632 18008 18519 12164 17140
"200755_s_at" 3527 8504 13961 16814 6083 16437 19691
"200756_x_at" 1353 18287 1285 20982 1551 18650 20515
"200757_s_at" 3545 19688 12885 14381 20886 5364 4709
"200758_s_at" 1300 9811 18504 11929 11436 18212 16774
"200759_x_at" 21520 5793 13806 13797 19764 11927 21053
"200760_s_at" 2469 6760 15433 12593 2182 16570 1600
"200761_s_at" 376 4884 18005 2704 7428 17157 1367
"200762_at" 5874 3278 19703 15324 9480 15537 5149
"200763_s_at" 7899 12181 12521 8037 14181 7496 14952
"200764_s_at" 3553 10245 13081 11519 5246 4457 10369
"200765_x_at" 4269 8272 5408 7636 6131 11781 9549
"200766_at" 3566 4019 22189 3191 3404 4993 18342
"200767_s_at" 7339 20706 17114 13107 2535 11700 5805
"200768_s_at" 4804 9443 15263 4051 7069 14507 7409
"200769_s_at" 2496 5321 17291 20762 3515 21356 18469
"200770_s_at" 1362 3924 20739 15981 21091 15299 19644
"200771_at" 21184 5531 20692 20534 12055 18922 16821
"200772_x_at" 21817 17609 13938 14943 14127 13301 18875
"200773_x_at" 19836 10151 12534 5511 18117 13056 15339
"200774_at" 5862 16561 18740 13773 10705 13480 15368
"200775_s_at" 6708 17490 1857 18660 9639 15115 17321
"200776_s_at" 3727 4680 15709 18195 3673 16078 8290
"200777_s_at" 6244 16749 15402 6340 6656 12960 8851
"200778_s_at" 3052 8143 13008 18623 5206 16903 18975
"200779_at" 8031 16829 12984 14879 9337 5266 6811
"200780_x_at" 7912 6705 13965 6184 11027 7470 16099
"200781_s_at" 21151 12110 3280 15172 14072 7384 6530
"200782_at" 5322 7141 20816 6259 8214 15682 8047
"200783_s_at" 6025 9737 15325 6034 11954 11291 7318
"200784_s_at" 15918 12878 8774 16860 15906 9078 17938
"200785_s_at" 17983 3777 5828 20037 17118 9312 21437
"200786_at" 5944 7685 13295 15371 18712 12873 3580
"200787_s_at" 6335 20605 3846 13960 6972 4113 20196
"200788_s_at" 4050 19452 15130 11839 20384 12256 17838
"200789_at" 6304 7338 19841 14004 22074 13688 20674
"200790_at" 6960 7823 16590 13062 10650 17912 6096
"200791_s_at" 6414 18885 20690 15439 19726 5356 4887
"200792_at" 5812 7256 12973 12224 19103 13531 15921
"200793_s_at" 20914 17714 19870 14986 7654 18003 18961
"200794_x_at" 7658 7960 19115 12580 18233 15751 19725
"200795_at" 9485 330 10652 772 20109 1809 6261
"200796_s_at" 2230 1630 20569 20086 1152 18914 21549
"200797_s_at" 4613 3940 17139 13795 5101 4242 4846
"200798_x_at" 3605 8172 20522 19602 1816 14897 19661
"200799_at" 5985 18210 5222 12554 7176 5479 8951
"200800_s_at" 3176 16822 3485 12703 7756 11013 17967
"200801_x_at" 7749 12297 12550 7882 13946 7270 10888
"200802_at" 4073 6811 13583 15319 19199 15828 8143
"200803_s_at" 4715 9762 15584 17902 7485 13856 9043
"200804_at" 6934 7311 16837 6374 8656 4559 9128
"200805_at" 6437 3601 2520 4101 10310 2634 15116
"200806_s_at" 20014 9940 15332 17650 3759 13012 15926
"200807_s_at" 7755 17637 13335 7891 11482 7283 15723
"200808_s_at" 2040 18664 16254 2301 18753 5399 21135
"200809_x_at" 20715 12271 3380 13813 18266 7289 6197
"200810_s_at" 3226 17820 14807 3232 12025 15070 4973
"200811_at" 699 7508 22007 19932 21028 12471 7941
"200812_at" 5015 9994 13554 19050 11733 13100 7972
"200813_s_at" 21783 9848 19100 20956 4752 15327 19411
"200814_at" 3395 9995 20765 12659 19612 15176 5391
"200815_s_at" 7559 16503 15235 15813 12087 13729 15514
"200816_s_at" 4443 6976 17712 14875 4352 17363 8727
"200817_x_at" 8043 12240 6507 7893 13967 7285 10899
"200818_at" 3402 4000 15116 15504 11578 13754 17896
"200819_s_at" 20694 12257 12840 12901 14101 7414 16086
"200820_at" 3576 9738 12297 18151 19078 17213 15120
"200821_at" 2654 16783 20458 5429 6870 18229 8635
"200822_x_at" 21007 17199 16604 13020 20654 11222 17300
"200823_x_at" 8017 19116 1790 13199 20299 3574 7751
"200824_at" 16866 1655 3616 12164 3153 4204 17475
"200825_s_at" 5061 7991 19524 3424 9998 3868 20201
"200826_at" 21464 16730 14094 17432 11885 3508 8950
"200827_at" 5975 19497 1555 3493 2112 12930 15674
"200828_s_at" 3346 3430 14452 20116 8269 16830 18773
"200829_x_at" 1783 8718 16731 13510 9202 16067 4454
"200830_at" 4247 8156 19477 12810 9991 16151 5341
"200831_s_at" 5593 16850 17561 2085 4464 4095 20128
"200832_s_at" 19975 8641 16299 4157 5208 4145 7608
"200833_s_at" 21084 18898 19881 13158 5263 12564 6654
"200834_s_at" 20535 12212 14409 7929 14021 7338 10939
"200835_s_at" 21197 3814 17578 4306 1051 20742 434
"200836_s_at" 660 2088 19614 3530 9753 2129 4623
"200837_at" 6793 7769 14238 17167 21057 13468 7478
"200838_at" 6067 9257 14552 17043 5043 3376 16320
"200839_s_at" 3749 7765 13899 5394 9708 14907 8424
"200840_at" 20114 17612 13544 14320 9919 14357 5436
"200841_s_at" 4839 8573 3686 18307 1040 15002 3139
"200842_s_at" 7032 7863 17805 13269 8703 14817 3715
"200843_s_at" 7102 17488 16379 5447 18248 14701 7113
"200844_s_at" 4451 6122 15791 3927 11042 11266 8965
"200845_s_at" 6186 17603 16003 5245 9474 13294 8012
"200846_s_at" 5226 9825 12656 14594 9045 15856 15231
"200847_s_at" 3946 6273 16496 5626 7000 14876 2504
"200848_at" 3397 16363 17575 14737 6290 11544 8988
"200849_s_at" 21889 17100 20512 3818 11287 12473 7909
"200850_s_at" 5433 6018 16640 3176 5250 4238 20149
"200851_s_at" 5654 7058 17314 4114 18088 17278 1436
"200852_x_at" 20595 4101 15524 1616 7505 13125 9102
"200853_at" 7762 17800 13129 5103 6309 5199 9091
"200854_at" 4523 19176 21255 21125 18528 14258 19695
"200855_at" 3936 21345 13516 19707 18397 2521 15753
"200856_x_at" 16138 21518 20148 5397 7107 20538 9036
"200857_s_at" 21767 7346 22062 20756 5969 3164 4463
"200858_s_at" 6737 10102 3432 6484 11904 15015 7297
"200859_x_at" 4278 8471 18370 3268 5241 16914 9058
"200860_s_at" 4644 8491 13822 14192 11406 18362 4886
"200861_at" 19943 16552 17174 4902 8438 17369 15062
"200862_at" 3755 18721 18654 6166 10685 14656 8166
"200863_s_at" 6237 7787 15730 16045 11152 16135 6081
"200864_s_at" 918 5224 18698 12598 3522 13670 15999
"200865_at" 15399 20788 17380 10593 13346 6025 14668
"200866_s_at" 1103 3429 16172 18698 7168 15475 18466
"200867_at" 4141 8034 12301 19055 7871 14318 16756
"200868_s_at" 5071 9120 14033 12308 5599 15489 18502
"200869_at" 20692 12152 12804 12980 14002 7314 15891
"200870_at" 5237 3309 13202 13228 11039 15734 6506
"200871_s_at" 2027 5421 14023 6175 6085 13749 8532
"200872_at" 7283 16465 3300 12914 19437 7275 5902
"200873_s_at" 6937 18275 14109 6245 10056 12894 9014
"200874_s_at" 19872 4650 18670 18606 6174 18314 7734
