"inst_313" "inst_608"
"201056_at" 11143 19729
"201057_s_at" 14402 19084
"201058_s_at" 6901 10552
"201059_at" 15719 20053
"201060_x_at" 13732 12902
"201061_s_at" 14302 13515
"201062_at" 6965 9147
"201063_at" 15817 3532
"201064_s_at" 10903 5179
"201065_s_at" 14923 14569
"201066_at" 5128 12369
"201067_at" 15020 2646
"201068_s_at" 16229 4544
"201069_at" 17676 13812
"201070_x_at" 13493 13658
"201071_x_at" 2239 14429
"201072_s_at" 15214 1076
"201073_s_at" 4152 2695
"201074_at" 3539 18247
"201075_s_at" 14693 1028
"201076_at" 14282 4342
"201077_s_at" 3133 13560
"201078_at" 2270 18160
"201079_at" 16182 16250
"201080_at" 19055 15694
"201081_s_at" 792 1863
"201082_s_at" 1130 5511
"201083_s_at" 13057 561
"201084_s_at" 5940 17167
"201085_s_at" 3477 21210
"201086_x_at" 5807 13601
"201087_at" 1731 19731
"201088_at" 16120 15060
"201089_at" 14943 14183
"201090_x_at" 2234 13239
"201091_s_at" 17679 4235
"201092_at" 16278 6245
"201093_x_at" 11844 2470
"201094_at" 11231 4303
"201095_at" 3506 20084
"201096_s_at" 10816 12669
"201097_s_at" 2997 18828
"201098_at" 4227 16162
"201099_at" 20886 6366
"201100_s_at" 14388 21472
"201101_s_at" 3098 2150
"201102_s_at" 5238 15327
"201103_x_at" 10966 18522
"201104_x_at" 13688 17660
"201105_at" 15356 16747
"201106_at" 15801 6169
"201107_s_at" 8812 7090
"201108_s_at" 17064 19694
"201109_s_at" 19155 17072
"201110_s_at" 17778 14223
"201111_at" 6129 16787
"201112_s_at" 13925 6276
"201113_at" 4869 1792
"201114_x_at" 16350 1902
"201115_at" 19241 13498
"201116_s_at" 2898 1719
"201117_s_at" 18182 19026
"201118_at" 13652 6355
"201119_s_at" 12665 6448
"201120_s_at" 5075 3050
"201121_s_at" 16650 13115
"201122_x_at" 13791 15558
"201123_s_at" 17117 6238
"201124_at" 11275 19860
"201125_s_at" 4302 4669
"201126_s_at" 5197 20016
"201127_s_at" 5045 5851
"201128_s_at" 16065 12314
"201129_at" 20974 20537
"201130_s_at" 13356 17494
"201131_s_at" 14067 6263
"201132_at" 13416 19601
"201133_s_at" 10951 16298
"201134_x_at" 13597 17944
"201135_at" 12923 17183
"201136_at" 15879 6385
"201137_s_at" 17420 4904
"201138_s_at" 6243 3975
"201139_s_at" 5728 12643
"201140_s_at" 2952 12494
"201141_at" 12775 18755
"201142_at" 2556 3361
"201143_s_at" 4184 2722
"201144_s_at" 5952 13809
"201145_at" 17259 2717
"201146_at" 20405 4936
"201147_s_at" 1124 10206
"201148_s_at" 535 14900
"201149_s_at" 18481 6087
