"inst_3630" "inst_3633" "inst_3733" "inst_3736" "inst_4289" "inst_4292" "inst_4755" "inst_4758"
"200802_at" 11804 14135 7638 12835 15139 13575 13353 16848
"200803_s_at" 3903 11192 8043 11359 4612 3970 11160 6573
"200804_at" 3298 13118 3009 10413 11605 16172 3628 8373
"200805_at" 3159 12509 7574 10239 3951 12291 10785 16863
"200806_s_at" 13687 9998 8768 10249 13002 12814 12380 10435
"200807_s_at" 6798 4551 15558 16464 11886 10313 11663 17037
"200808_s_at" 14249 10110 18085 14401 21203 22094 11232 21116
"200809_x_at" 6803 4556 7447 21222 3947 2902 4117 18907
"200810_s_at" 14900 13262 18544 7856 16408 13131 14327 6707
"200811_at" 13987 15060 15175 3773 17688 19313 12521 8557
"200812_at" 4126 13673 6253 11085 10933 16832 13576 17014
"200813_s_at" 19409 12552 15690 3821 20462 11671 20231 7111
"200814_at" 4734 16611 14905 20315 3586 11511 11963 10109
"200815_s_at" 19381 17211 6505 8464 11600 18477 17886 16625
"200816_s_at" 19978 19852 18137 11532 20137 19676 20940 5810
"200817_x_at" 6801 4554 10324 16466 6695 5905 7039 12448
"200818_at" 5049 14658 6460 11734 4771 10092 11796 18286
"200819_s_at" 6897 4668 7178 14716 3413 3702 4485 16803
"200820_at" 3774 14022 7737 14060 10402 11075 13883 9655
"200821_at" 15821 16062 16415 2933 12241 12896 15738 1604
"200822_x_at" 10997 12296 16911 14302 12878 12136 3877 8143
"200823_x_at" 11610 2588 8042 14744 4881 2779 3087 17305
"200824_at" 2432 99 15802 9805 3798 938 336 4064
"200825_s_at" 4882 20661 3581 11679 19572 22006 11850 4178
"200826_at" 3220 11973 7999 13002 3440 3972 3697 10452
"200827_at" 12362 16758 18921 11650 18173 20043 16185 9942
"200828_s_at" 13979 15119 1829 9727 11832 14461 13145 19900
"200829_x_at" 16810 17340 7516 11298 10747 14790 14775 16762
"200830_at" 4979 16076 15343 11671 10481 13911 12283 7842
"200831_s_at" 3116 12799 2088 14646 1966 13223 2657 6256
"200832_s_at" 13302 12016 6921 1047 11934 15057 12731 4549
"200833_s_at" 11691 14322 16640 5917 14627 13334 12553 4824
"200834_s_at" 6838 4594 10361 16505 6750 5963 7085 12508
"200835_s_at" 4455 12215 14858 14655 697 1263 1777 20848
"200836_s_at" 2857 14524 20996 3070 15593 13778 11542 9855
"200837_at" 10655 15203 4707 11368 2943 2285 14931 9103
"200838_at" 3616 14790 5313 5695 13960 18075 13482 10016
"200839_s_at" 10729 14637 6019 8570 14940 16839 12713 6841
"200840_at" 12885 11385 17130 12937 10936 10978 13234 9882
"200841_s_at" 4970 9560 4494 20942 2731 372 10943 8540
"200842_s_at" 15029 15251 14892 13892 10368 14551 13400 10387
"200843_s_at" 11113 15327 14820 12728 10370 15518 13387 8378
"200844_s_at" 2222 11859 7683 12659 4265 1906 11214 16933
"200845_s_at" 5150 10629 15988 14308 11522 11527 13012 7207
"200846_s_at" 4200 12055 14302 9329 14894 14725 12889 5530
"200847_s_at" 13130 12213 8640 14509 10885 11541 14851 7310
"200848_at" 2680 16986 3491 7921 12551 16547 11237 7871
"200849_s_at" 12228 10091 7170 4483 4765 16425 4166 3888
"200850_s_at" 2306 15352 14434 9749 18217 21045 2837 7924
"200851_s_at" 3230 16866 5233 21069 10739 15227 2381 19533
"200852_x_at" 4508 13470 7162 7787 14448 15354 16005 20540
"200853_at" 11042 2932 14751 20199 14534 3782 13128 18847
"200854_at" 19492 21097 6276 4732 18634 18882 15012 4473
"200855_at" 17788 14899 2977 1426 2449 3543 15149 9687
"200856_x_at" 12723 14046 1487 3647 12501 14662 21286 3960
"200857_s_at" 16634 20638 4877 7625 13297 19290 18981 6951
"200858_s_at" 11579 9857 15232 10613 2347 1579 14058 6905
"200859_x_at" 4112 20695 6943 10233 11393 14183 4507 9262
"200860_s_at" 16609 19700 14166 12344 15904 17088 18060 16997
"200861_at" 16896 21019 17219 13333 19959 21918 16389 6815
"200862_at" 16280 20955 8417 8545 16672 20751 17341 4081
"200863_s_at" 2976 11902 5136 13129 2632 4256 3006 9889
"200864_s_at" 10874 14936 3622 1938 18772 13362 12499 3965
"200865_at" 7158 8439 15294 6721 6164 4708 3676 13101
"200866_s_at" 11336 18540 4782 6369 15932 17006 11833 17110
"200867_at" 5186 18160 2953 5490 13151 13444 11529 10116
"200868_s_at" 3387 13306 5527 10228 15081 10295 11821 17329
"200869_at" 6822 4579 7751 20617 3359 2505 4494 17000
"200870_at" 4872 14375 15594 13253 12886 11969 11855 10396
"200871_s_at" 3330 17901 15500 11072 11767 16072 4691 7930
"200872_at" 4484 9372 5453 11407 3322 10182 2454 9268
"200873_s_at" 11777 10272 16097 14135 11423 12043 10851 9234
"200874_s_at" 11409 9919 7750 20412 17188 10117 18518 8398
"200875_s_at" 11205 15073 6669 14103 3318 12501 11204 9723
"200876_s_at" 10649 11149 14713 9157 10381 3881 11764 6816
"200877_at" 12474 11732 14258 13018 11684 12028 11805 18529
"200878_at" 11762 19430 6760 11691 2468 14030 14766 3461
"200879_s_at" 2093 12067 1035 3609 20295 21248 6941 16216
"200880_at" 21131 18493 19055 6523 19520 18237 21810 16970
"200881_s_at" 18403 14612 5045 4757 11407 15317 18375 18747
"200882_s_at" 10950 11173 16883 13624 13900 12026 14328 17098
"200883_at" 14666 19527 6252 3778 4821 1811 15519 8904
"200884_at" 4269 16365 4038 10510 12879 17260 12048 18580
"200885_at" 14369 14545 5408 13454 16328 15842 4401 17752
"200886_s_at" 4222 11355 8748 19989 4397 12511 4338 16811
"200887_s_at" 14638 20530 7256 10077 17652 19423 15758 7228
"200888_s_at" 11070 2920 8446 11241 10733 10491 12270 7224
"200889_s_at" 13281 10685 4068 3980 4657 10607 12238 2923
"200890_s_at" 14142 9553 2996 2355 11834 11882 14980 8713
"200891_s_at" 10924 19402 14834 20749 15155 14228 13824 18625
"200892_s_at" 12102 16006 6978 6149 16222 15889 15110 6987
"200893_at" 13235 16081 18622 13065 13986 13299 13987 8843
"200894_s_at" 14231 12273 7872 14319 16973 19269 17709 8110
"200895_s_at" 15295 19275 19569 11883 16155 20994 15928 9387
"200896_x_at" 2637 11815 7280 20571 2847 10569 3426 8936
"200897_s_at" 14632 19594 15060 12591 17443 11893 15589 7158
"200898_s_at" 16352 19282 703 5034 14712 21115 2939 20588
"200899_s_at" 19030 17060 16353 6789 15274 14841 19876 19145
