"inst_578" "inst_624"
"200943_at" 15560 2051
"200944_s_at" 19648 14373
"200945_s_at" 19288 19486
"200946_x_at" 17527 18462
"200947_s_at" 17752 14173
"200948_at" 4265 18919
"200949_x_at" 17892 14474
"200950_at" 15536 15203
"200951_s_at" 10453 10689
"200952_s_at" 13413 8159
"200953_s_at" 14051 11272
"200954_at" 1779 14705
"200955_at" 18705 20802
"200956_s_at" 19676 19116
"200957_s_at" 20890 18429
"200958_s_at" 20134 2218
"200959_at" 2124 15973
"200960_x_at" 17957 17082
"200961_at" 18851 14125
"200962_at" 1486 17382
"200963_x_at" 18139 14390
"200964_at" 15752 17038
"200965_s_at" 15564 19424
"200966_x_at" 3276 15081
"200967_at" 16665 15207
"200968_s_at" 18208 14300
"200969_at" 16775 16830
"200970_s_at" 21900 21317
"200971_s_at" 19344 16000
"200972_at" 17301 17358
"200973_s_at" 17636 14788
"200974_at" 17710 6464
"200975_at" 19709 20159
"200976_s_at" 16576 1774
"200977_s_at" 20397 19308
"200978_at" 18448 17385
"200979_at" 21996 22158
"200980_s_at" 3090 17595
"200981_x_at" 4007 1597
"200982_s_at" 2001 1118
"200983_x_at" 15552 15297
"200984_s_at" 18786 15532
"200985_s_at" 19209 19814
"200986_at" 14625 3825
"200987_x_at" 3310 1108
"200988_s_at" 1620 14124
"200989_at" 21757 20573
"200990_at" 16430 21952
"200991_s_at" 21090 2754
"200992_at" 18653 20014
"200993_at" 16053 17101
"200994_at" 21257 17574
"200995_at" 19768 2397
"200996_at" 15338 18004
"200997_at" 4277 17795
"200998_s_at" 18914 14560
"200999_s_at" 19403 14301
"201000_at" 4147 18194
"201001_s_at" 19063 16237
"201002_s_at" 19418 19593
"201003_x_at" 18426 17049
"201004_at" 1944 15058
"201005_at" 18696 18984
"201006_at" 1024 9620
"201007_at" 16248 20923
"201008_s_at" 20796 16843
"201009_s_at" 584 14638
"201010_s_at" 1938 17226
"201011_at" 16781 20585
"201012_at" 16729 13430
"201013_s_at" 17990 18559
"201014_s_at" 20528 17025
"201015_s_at" 17273 21177
"201016_at" 21889 19322
"201017_at" 20587 15501
"201018_at" 20991 20534
"201019_s_at" 21886 18941
"201020_at" 15759 14293
"201021_s_at" 19849 18894
"201022_s_at" 18250 18170
"201023_at" 16486 18142
"201024_x_at" 21588 1276
"201025_at" 1663 22200
"201026_at" 653 21407
"201027_s_at" 4621 21822
"201028_s_at" 16067 17292
"201029_s_at" 19810 16560
"201030_x_at" 18676 3848
"201031_s_at" 16297 17855
"201032_at" 19478 14338
"201033_x_at" 15539 778
"201034_at" 20570 7110
"201035_s_at" 16249 16193
"201036_s_at" 21657 18491
"201037_at" 18109 20591
"201038_s_at" 15670 19946
"201039_s_at" 17600 17947
"201040_at" 20178 4
"201041_s_at" 19407 1022
"201042_at" 3839 18393
"201043_s_at" 1175 18554
"201044_x_at" 12202 7467
"201045_s_at" 14861 13421
"201046_s_at" 21801 16268
"201047_x_at" 3760 14590
"201048_x_at" 8780 16769
"201049_s_at" 17540 14443
"201050_at" 789 14998
"201051_at" 18007 19832
"201052_s_at" 17084 14184
"201053_s_at" 22063 21385
"201054_at" 16328 19501
"201055_s_at" 18341 15353
"201056_at" 4034 21590
"201057_s_at" 15453 20912
"201058_s_at" 11290 7534
"201059_at" 262 2463
"201060_x_at" 563 20604
"201061_s_at" 626 16498
"201062_at" 9768 8968
"201063_at" 1415 6335
"201064_s_at" 19762 18851
"201065_s_at" 20693 19141
"201066_at" 17187 15069
"201067_at" 3659 18863
"201068_s_at" 16779 16592
"201069_at" 916 4128
"201070_x_at" 20300 14331
"201071_x_at" 17057 16029
"201072_s_at" 20609 15572
"201073_s_at" 18835 20854
"201074_at" 3789 19348
"201075_s_at" 21325 20678
"201076_at" 16803 16711
"201077_s_at" 15634 16579
"201078_at" 2684 19884
"201079_at" 19114 18348
"201080_at" 20547 443
"201081_s_at" 21550 21326
"201082_s_at" 21691 21138
"201083_s_at" 13525 1045
"201084_s_at" 16245 17276
"201085_s_at" 2750 20424
"201086_x_at" 17755 18622
"201087_at" 4489 16573
"201088_at" 21808 19756
"201089_at" 2707 17344
"201090_x_at" 2360 2424
"201091_s_at" 20573 2210
"201092_at" 19305 815
"201093_x_at" 2457 17430
"201094_at" 17473 2193
"201095_at" 17296 16786
"201096_s_at" 16196 17921
"201097_s_at" 19257 19686
"201098_at" 16848 19831
"201099_at" 20306 21995
"201100_s_at" 18358 18549
"201101_s_at" 21029 18433
"201102_s_at" 1124 16314
"201103_x_at" 15403 19816
"201104_x_at" 15949 20976
"201105_at" 20711 1668
"201106_at" 15598 20541
"201107_s_at" 11194 12834
"201108_s_at" 4574 18432
"201109_s_at" 16684 20861
"201110_s_at" 11922 17225
"201111_at" 17475 15493
"201112_s_at" 16222 14674
"201113_at" 19200 18759
"201114_x_at" 18088 14149
"201115_at" 2946 18797
"201116_s_at" 17078 11495
"201117_s_at" 11740 5630
"201118_at" 20071 17498
"201119_s_at" 3759 19840
"201120_s_at" 21505 20175
"201121_s_at" 4624 14984
"201122_x_at" 15961 17036
"201123_s_at" 15357 2747
"201124_at" 21220 4221
"201125_s_at" 3314 15853
"201126_s_at" 21534 554
"201127_s_at" 1881 16777
"201128_s_at" 3247 18289
"201129_at" 20986 21655
"201130_s_at" 8725 14343
"201131_s_at" 3300 19481
"201132_at" 18395 1827
"201133_s_at" 18310 2195
"201134_x_at" 18887 19395
"201135_at" 16960 1991
"201136_at" 15254 14839
"201137_s_at" 1427 6896
"201138_s_at" 19422 20951
"201139_s_at" 16152 18848
"201140_s_at" 13296 2204
"201141_at" 7331 3830
"201142_at" 20035 2439
"201143_s_at" 18085 17510
"201144_s_at" 22065 18307
"201145_at" 18006 16267
"201146_at" 21880 19352
"201147_s_at" 9608 3408
"201148_s_at" 12230 5211
"201149_s_at" 15395 1216
"201150_s_at" 5031 3157
"201151_s_at" 19317 20117
"201152_s_at" 18216 21141
"201153_s_at" 17461 20515
"201154_x_at" 15225 1371
"201155_s_at" 3581 17568
"201156_s_at" 10825 17113
"201157_s_at" 3320 17476
"201158_at" 2844 2455
"201159_s_at" 10932 7166
"201160_s_at" 16444 18856
"201161_s_at" 1654 19610
"201162_at" 5711 7611
"201163_s_at" 9627 3976
"201164_s_at" 15466 14637
"201165_s_at" 15353 17208
"201166_s_at" 21501 2688
"201167_x_at" 15801 20519
"201168_x_at" 17929 18974
"201169_s_at" 2025 9612
"201170_s_at" 21047 19795
"201171_at" 11221 6663
"201172_x_at" 17769 18240
"201173_x_at" 3978 2011
"201174_s_at" 4342 19076
"201175_at" 21352 19842
"201176_s_at" 20576 17746
"201177_s_at" 16733 20395
"201178_at" 15998 15646
"201179_s_at" 15713 2161
"201180_s_at" 17519 17998
"201181_at" 8904 22218
"201182_s_at" 1519 17891
"201183_s_at" 16168 17371
"201184_s_at" 16702 17015
"201185_at" 18613 17409
"201186_at" 22174 2147
"201187_s_at" 591 12401
"201188_s_at" 2085 17922
"201189_s_at" 18683 15739
"201190_s_at" 17167 2315
"201191_at" 16467 18509
"201192_s_at" 4120 17864
"201193_at" 18688 14250
"201194_at" 21799 16383
"201195_s_at" 15359 2419
"201196_s_at" 18740 15429
"201197_at" 18062 14270
"201198_s_at" 2874 18074
"201199_s_at" 4027 16320
"201200_at" 21455 16605
"201201_at" 15579 16554
"201202_at" 2925 2723
"201203_s_at" 22116 20586
"201204_s_at" 2321 19107
"201205_at" 18860 1626
"201206_s_at" 1758 17943
"201207_at" 3614 18308
"201208_s_at" 21479 191
"201209_at" 3524 14506
"201210_at" 4100 19855
"201211_s_at" 18424 2570
"201212_at" 22220 1092
"201213_at" 11443 18340
"201214_s_at" 21109 16209
"201215_at" 20567 21879
"201216_at" 15588 17676
"201217_x_at" 2831 2451
"201218_at" 21680 14818
"201219_at" 8122 20059
"201220_x_at" 18162 18225
"201221_s_at" 17042 1342
"201222_s_at" 19546 15972
"201223_s_at" 19579 15845
"201224_s_at" 2069 15237
"201225_s_at" 20615 19604
"201226_at" 16583 21615
"201227_s_at" 19341 19065
"201228_s_at" 20310 6271
"201229_s_at" 3853 22214
"201230_s_at" 20684 15040
"201231_s_at" 15448 16306
"201232_s_at" 4602 19716
"201233_at" 4161 20675
"201234_at" 3811 14416
"201235_s_at" 1483 5520
"201236_s_at" 14542 16861
"201237_at" 20118 2088
"201238_s_at" 21155 20259
"201239_s_at" 17405 18601
"201240_s_at" 17665 18865
"201241_at" 16992 18414
"201242_s_at" 15444 21698
"201243_s_at" 17232 16045
"201244_s_at" 19577 16184
"201245_s_at" 3631 14251
"201246_s_at" 2617 16195
"201247_at" 16172 1491
"201248_s_at" 1513 20189
"201249_at" 13686 10209
"201250_s_at" 20966 1615
"201251_at" 4571 16419
"201252_at" 1227 17758
"201253_s_at" 16058 1373
"201254_x_at" 19194 14265
"201255_x_at" 4023 1511
"201256_at" 4032 20135
"201257_x_at" 18707 1660
"201258_at" 16696 19347
"201259_s_at" 15479 16667
"201260_s_at" 20065 14247
"201261_x_at" 12888 20842
"201262_s_at" 10689 5742
"201263_at" 2148 17175
"201264_at" 1226 16864
"201265_at" 4873 3152
"201266_at" 19535 21755
"201267_s_at" 16142 2677
"201268_at" 2603 2756
"201269_s_at" 8083 6893
"201270_x_at" 15409 21751
"201271_s_at" 2359 20275
