"inst_490" "inst_494" "inst_1017" "inst_1075" "inst_1178" "inst_1237" "inst_1577" "inst_1662" "inst_2697" "inst_3194" "inst_4461" "inst_5234" "inst_5597" "inst_5880" "inst_6196" "inst_6954" "inst_6996" "inst_7234"
"200635_s_at" 17223 6641 5682 21860 9875 19676 14705 1429 15925 15354 4827 7108 12979 4168 2743 5915 1477 19588
"200636_s_at" 5240 17602 17163 21675 11234 7363 14002 15318 14248 18009 13280 1450 16563 5945 10446 15538 9721 18004
"200637_s_at" 19995 16123 3802 15665 11277 1634 6392 1172 11336 15257 21801 11807 21077 21347 9008 3264 6016 18052
"200638_s_at" 6943 14631 16515 17038 17272 4156 4171 14474 5138 7392 14165 7864 5375 7119 6426 15740 9004 6337
"200639_s_at" 6829 18135 5929 4240 18241 16607 19769 2363 5656 5035 17177 10891 5721 16573 16357 6287 4094 19836
"200640_at" 4973 4256 16220 16059 20577 6953 17171 14940 10086 17670 12747 10403 14875 6907 7095 15978 9501 7922
"200641_s_at" 15125 5253 17683 20133 4280 16275 3182 15344 5361 4631 12975 10705 5498 7643 4640 16323 7330 3936
"200642_at" 14251 4495 16400 16089 19664 7638 4438 15222 9830 15360 11983 8923 5149 15403 17452 5830 9927 16637
"200643_at" 15912 15124 15593 16883 1835 6544 18167 18271 2244 19069 15459 6716 14631 2583 7398 4064 2694 18934
"200644_at" 18044 21874 19856 18820 1213 4130 19993 14255 10351 8054 13879 11087 17626 7475 15015 17922 19382 6839
"200645_at" 3365 16032 17588 2550 2501 18258 2949 14576 8900 5084 13284 4732 6544 4783 7434 4862 3164 2602
"200646_s_at" 15728 5060 18103 17372 3274 17199 11162 17872 18999 4456 20472 4260 5124 21625 5178 16263 871 16185
"200647_x_at" 21693 15079 15278 21154 17685 17366 18066 17765 17072 17800 14524 9531 18027 2414 19204 17574 7677 7939
"200648_s_at" 20188 22244 2261 17706 21230 17484 674 17780 17392 6622 12164 6131 13918 21253 4046 16051 5875 1032
"200649_at" 15677 18137 16197 4036 21329 4706 327 21754 17322 7769 15559 11346 17313 1693 2991 2308 2226 18358
"200650_s_at" 16476 5307 17584 4288 17993 7630 17431 19386 12783 8676 7439 20547 6089 15945 9236 17690 10320 7832
"200651_at" 7077 5369 5868 15474 7338 5500 16679 12955 12969 8431 5263 19656 4931 6797 9463 6364 20352 7342
"200652_at" 18496 17094 5230 3404 18567 7354 2908 14909 7031 5481 14469 3993 5176 2141 14991 4664 4993 5334
"200653_s_at" 13866 19787 16632 21950 16718 19964 22016 14969 8790 17997 12024 7474 17105 15063 17877 19935 2823 20002
"200654_at" 15735 15452 15413 22263 18919 3569 18394 16582 11005 16882 17780 8167 3366 4389 15931 6615 6575 5496
"200655_s_at" 14872 6611 17973 20416 7463 4535 16286 14013 5666 7575 2294 19124 16243 14889 15129 18621 10045 7858
"200656_s_at" 6705 14218 5399 4232 6911 2743 19914 15967 7409 9432 17909 5697 5171 5162 17993 4916 2319 7153
"200657_at" 5154 5325 17766 15656 7603 7600 3638 13473 18504 8947 5538 19496 14740 15117 15576 6553 19943 16870
"200658_s_at" 19594 20966 5681 17965 21311 5994 21186 17141 7382 5088 14809 6529 5969 15998 17528 16212 6552 6479
"200659_s_at" 21082 21531 19719 20880 17467 20910 22245 16051 3511 15175 21451 7482 17441 17533 13649 17553 20161 20160
"200660_at" 15848 19471 4963 2099 17175 7112 21344 13351 9871 6976 5805 6512 3818 16709 16593 4432 6457 6121
"200661_at" 14157 14270 3619 17130 20372 16917 20936 14643 8665 6180 14641 4438 3901 4494 5356 5508 3723 6009
"200662_s_at" 15869 6841 20158 19233 5220 18295 18140 21176 9942 4986 17449 11556 19420 17598 18911 17232 4637 3648
"200663_at" 5464 7265 16140 17898 19250 4974 20037 3350 7783 16282 12113 5146 5410 5599 5967 4718 10633 16069
"200664_s_at" 16760 17599 5271 16093 18965 5586 1648 18476 4299 17191 21163 2702 13603 19252 2763 6706 4250 2624
"200665_s_at" 8512 6152 6542 5416 9182 14867 12922 9477 15045 12002 18172 13019 12105 10135 7639 9406 13515 12363
"200666_s_at" 14461 7335 19224 17562 17561 19506 17935 18623 4079 18373 17781 5916 19449 17795 3221 18039 20347 18155
"200667_at" 14341 14056 19472 18729 20143 7905 16451 14991 9493 6310 12925 19622 13588 3156 14318 21912 6693 4466
"200668_s_at" 4588 4190 15369 15312 6334 6663 19025 17024 10873 6595 15098 5692 13080 7187 14179 4914 9243 4765
"200669_s_at" 4370 15955 15555 4325 6207 7305 20345 13166 4968 5776 14722 6000 5340 5233 5135 6094 7936 3153
"200670_at" 14720 3952 2409 15819 4006 2551 1706 15146 18521 7432 4178 9399 3850 710 20974 4663 5900 6140
"200671_s_at" 12938 21777 18445 3079 996 894 9481 5278 17472 1441 21592 20143 987 18094 11863 1569 183 226
"200672_x_at" 2567 227 3570 21558 1943 21784 10809 22059 9232 2602 18723 683 18047 15839 2613 2541 1184 5211
"200673_at" 14861 5632 16190 15800 5006 7388 19752 12886 7381 7470 13183 8220 6101 5017 5219 4389 6522 6691
"200674_s_at" 6651 16314 9500 3238 18233 7105 4663 2238 12944 8122 7613 20379 14112 14878 9438 5561 20077 15980
