"inst_2547" "inst_3406" "inst_3606" "inst_3708" "inst_4269" "inst_4730"
"200712_s_at" 20398 18448 18812 1923 18836 19963
"200713_s_at" 18346 3847 13586 14769 18044 16207
"200714_x_at" 15269 21192 10430 12970 10677 4767
"200715_x_at" 11597 3434 3272 11465 12626 16640
"200716_x_at" 5421 4337 4918 6786 9662 6249
"200717_x_at" 5319 4257 4810 6684 4585 9431
"200718_s_at" 14804 4230 2294 12447 11993 5433
"200719_at" 17271 16331 16017 16815 12271 16046
"200720_s_at" 11632 4451 20244 11801 18285 4491
"200721_s_at" 15093 18756 16974 12568 10655 17860
"200722_s_at" 21802 17168 19862 4682 15674 20118
"200723_s_at" 21276 16802 18150 14694 11138 15453
"200724_at" 169 3777 22074 21909 17879 3894
"200725_x_at" 9816 1969 2472 3527 2572 15359
"200726_at" 20487 15797 16326 3933 16891 15691
"200727_s_at" 21904 13212 21783 2962 21989 19513
"200728_at" 15002 13915 17023 11426 16350 15686
"200729_s_at" 19214 16530 14835 13518 20699 4424
"200730_s_at" 18712 20190 19004 599 15100 18234
"200731_s_at" 19431 17474 18834 10955 10959 7425
"200732_s_at" 17618 3429 11756 2521 11067 7236
"200733_s_at" 20706 19612 1907 4044 21339 2503
"200734_s_at" 20661 13771 16580 19025 15640 5005
"200735_x_at" 5374 14259 4875 6737 10934 9531
"200736_s_at" 14026 5864 5943 16209 20551 9004
"200737_at" 15365 14831 13768 12130 13374 5674
"200738_s_at" 10716 3239 2975 2930 2610 5670
"200739_s_at" 20589 13563 15038 4046 10783 15360
"200740_s_at" 18321 14690 11108 14679 11863 7139
"200741_s_at" 5245 2979 4713 6595 4501 9316
"200742_s_at" 20808 21776 15845 18233 10724 4701
"200743_s_at" 19022 15077 18148 15261 11829 5665
"200744_s_at" 19715 17678 18623 13814 15917 16831
"200745_s_at" 18276 18473 19440 17761 17596 7090
"200746_s_at" 17066 16408 14726 4487 10048 2037
"200747_s_at" 11358 19168 18888 15246 1669 20131
"200748_s_at" 1968 13687 10028 6799 2613 16906
"200749_at" 20177 16159 13646 17365 20022 6440
"200750_s_at" 14085 2832 4788 6658 2464 13935
"200751_s_at" 20194 20633 16725 3293 19710 15848
"200752_s_at" 12538 21045 16962 16139 8629 4456
"200753_x_at" 21401 13013 14883 12599 17931 16729
"200754_x_at" 16037 15929 11749 11829 9028 14572
"200755_s_at" 15190 19075 14042 13539 11106 18843
"200756_x_at" 12092 20243 18769 2950 13320 18811
"200757_s_at" 13833 19320 14434 13744 14300 14312
"200758_s_at" 19124 13343 17972 10881 12811 2258
"200759_x_at" 15671 19686 11651 19671 14080 1991
"200760_s_at" 21600 18578 19479 13414 21450 19063
"200761_s_at" 21518 17831 15241 18011 19886 4746
"200762_at" 12914 19936 17179 12377 17733 7194
"200763_s_at" 5387 4381 4883 6747 4656 14476
"200764_s_at" 12563 2538 18479 5730 5447 18353
"200765_x_at" 4241 15448 13943 8900 6662 6749
"200766_at" 17991 3549 12244 1844 17004 4500
"200767_s_at" 21174 19316 12898 15494 17292 19496
"200768_s_at" 13238 16185 12718 11564 9821 5813
"200769_s_at" 21575 3803 19398 11993 14750 14938
"200770_s_at" 19869 668 15772 16039 13480 7336
"200771_at" 18208 19515 10963 17611 12330 15468
"200772_x_at" 5349 15028 12793 11633 10176 15327
"200773_x_at" 10433 14228 3265 11646 2313 6566
"200774_at" 18398 3440 12692 12648 11762 4923
"200775_s_at" 16787 19335 13141 11260 10273 13972
"200776_s_at" 18228 16188 16740 4745 11739 15623
"200777_s_at" 13556 3333 13274 4742 9949 15895
"200778_s_at" 21775 14093 12788 4339 14598 6491
"200779_at" 12878 2301 3003 11969 13160 6342
"200780_x_at" 15691 13925 9868 10805 2366 15968
"200781_s_at" 5305 13414 4794 3072 2028 14772
"200782_at" 14585 16942 16268 14442 13178 4466
"200783_s_at" 18311 20428 13789 18080 15348 16517
"200784_s_at" 4048 9190 4390 832 21 10694
"200785_s_at" 3380 4899 4004 21657 271 12839
"200786_at" 16847 15938 13597 11278 10210 16608
"200787_s_at" 14799 19066 13609 11940 10213 6097
"200788_s_at" 12734 16427 10884 15171 9357 16630
"200789_at" 14915 13436 18624 14454 13571 21772
"200790_at" 20635 3788 11717 3601 9236 16811
"200791_s_at" 14619 19721 11635 18046 19344 18670
"200792_at" 18185 14935 11554 12837 10672 6842
"200793_s_at" 20237 18653 15488 3177 10081 17757
"200794_x_at" 17080 18501 14310 12904 18207 14665
"200795_at" 1030 5506 289 9178 6722 19995
"200796_s_at" 21310 22033 20714 11743 11858 15198
"200797_s_at" 17540 20586 13900 1470 16300 6328
"200798_x_at" 20868 18412 15793 11363 18335 4844
"200799_at" 4584 2991 2858 3965 10047 2874
"200800_s_at" 20560 16915 14507 16000 10540 18377
"200801_x_at" 5220 15158 4682 6568 4466 9265
"200802_at" 17482 1375 2767 12407 15705 3602
"200803_s_at" 19106 14111 13745 11846 17142 4251
"200804_at" 14018 14585 12548 12653 11134 14419
"200805_at" 13225 3451 12320 13096 16601 17300
"200806_s_at" 17534 14035 14331 2702 11622 13973
"200807_s_at" 13071 13096 4697 10853 8511 7005
"200808_s_at" 11278 16019 9174 13903 1053 20511
"200809_x_at" 5234 3697 4702 3880 8424 14941
"200810_s_at" 14702 18117 2932 17712 16852 3273
"200811_at" 21897 21841 20536 14564 19502 13856
"200812_at" 17897 14933 13521 13205 12607 17361
"200813_s_at" 13371 20606 14171 5047 18562 5896
"200814_at" 19976 3734 10120 12921 16282 15951
"200815_s_at" 10320 19571 16172 17072 10523 17441
"200816_s_at" 18949 19317 16625 19093 15199 17397
"200817_x_at" 5232 7210 4700 6579 4477 9286
"200818_at" 14565 16767 9509 11093 12141 14958
"200819_s_at" 5329 13213 4818 4732 11257 7122
"200820_at" 19497 14362 11051 17165 11782 15538
